choice_key	dilemma_key
FIRST	inv_geographical_carthage_merchant
SECOND	inv_geographical_carthage_merchant
FIRST	inv_geographical_massalia_cure_all
SECOND	inv_geographical_massalia_cure_all
THIRD	inv_geographical_massalia_cure_all
FIRST	inv_geographical_massalia_merchants
FOURTH	inv_geographical_massalia_merchants
SECOND	inv_geographical_massalia_merchants
THIRD	inv_geographical_massalia_merchants
FIRST	inv_geographical_massalia_request
SECOND	inv_geographical_massalia_request
THIRD	inv_geographical_massalia_request
FIRST	inv_geographical_massalia_resources
SECOND	inv_geographical_massalia_resources
FIRST	inv_geographical_massalia_trading_rights
SECOND	inv_geographical_massalia_trading_rights
THIRD	inv_geographical_massalia_trading_rights
FIRST	inv_homefront_01
SECOND	inv_homefront_01
THIRD	inv_homefront_01
FIRST	inv_homefront_02
SECOND	inv_homefront_02
THIRD	inv_homefront_02
FIRST	inv_homefront_03
SECOND	inv_homefront_03
THIRD	inv_homefront_03
FIRST	inv_homefront_04
SECOND	inv_homefront_04
THIRD	inv_homefront_04
FIRST	inv_homefront_05
SECOND	inv_homefront_05
THIRD	inv_homefront_05
FIRST	inv_homefront_06
SECOND	inv_homefront_06
THIRD	inv_homefront_06
FIRST	inv_homefront_07
SECOND	inv_homefront_07
THIRD	inv_homefront_07
FIRST	inv_homefront_08
SECOND	inv_homefront_08
THIRD	inv_homefront_08
FIRST	inv_homefront_09
SECOND	inv_homefront_09
THIRD	inv_homefront_09
FIRST	inv_homefront_10
SECOND	inv_homefront_10
THIRD	inv_homefront_10
FIRST	inv_homefront_11
SECOND	inv_homefront_11
THIRD	inv_homefront_11
FIRST	inv_homefront_12
SECOND	inv_homefront_12
THIRD	inv_homefront_12
FIRST	inv_plebs_01
FOURTH	inv_plebs_01
SECOND	inv_plebs_01
THIRD	inv_plebs_01
FIRST	inv_plebs_02
FOURTH	inv_plebs_02
SECOND	inv_plebs_02
THIRD	inv_plebs_02
FIRST	inv_plebs_03
FOURTH	inv_plebs_03
SECOND	inv_plebs_03
THIRD	inv_plebs_03
FIRST	inv_plebs_04
FOURTH	inv_plebs_04
SECOND	inv_plebs_04
THIRD	inv_plebs_04
FIRST	inv_plebs_05
FOURTH	inv_plebs_05
SECOND	inv_plebs_05
THIRD	inv_plebs_05
FIRST	inv_plebs_06
FOURTH	inv_plebs_06
SECOND	inv_plebs_06
THIRD	inv_plebs_06
FIRST	inv_plebs_07
FOURTH	inv_plebs_07
SECOND	inv_plebs_07
THIRD	inv_plebs_07
FIRST	inv_plebs_08
FOURTH	inv_plebs_08
SECOND	inv_plebs_08
THIRD	inv_plebs_08
FIRST	isthmian_401
FOURTH	isthmian_401
SECOND	isthmian_401
THIRD	isthmian_401
FIRST	isthmian_403
FOURTH	isthmian_403
SECOND	isthmian_403
THIRD	isthmian_403
FIRST	isthmian_405
FOURTH	isthmian_405
SECOND	isthmian_405
THIRD	isthmian_405
FIRST	isthmian_407
FOURTH	isthmian_407
SECOND	isthmian_407
THIRD	isthmian_407
FIRST	isthmian_409
FOURTH	isthmian_409
SECOND	isthmian_409
THIRD	isthmian_409
FIRST	isthmian_411
FOURTH	isthmian_411
SECOND	isthmian_411
THIRD	isthmian_411
FIRST	isthmian_413
FOURTH	isthmian_413
SECOND	isthmian_413
THIRD	isthmian_413
FIRST	isthmian_415
FOURTH	isthmian_415
SECOND	isthmian_415
THIRD	isthmian_415
FIRST	isthmian_417
FOURTH	isthmian_417
SECOND	isthmian_417
THIRD	isthmian_417
FIRST	isthmian_419
FOURTH	isthmian_419
SECOND	isthmian_419
THIRD	isthmian_419
FIRST	isthmian_421
FOURTH	isthmian_421
SECOND	isthmian_421
THIRD	isthmian_421
FIRST	isthmian_423
FOURTH	isthmian_423
SECOND	isthmian_423
THIRD	isthmian_423
FIRST	isthmian_425
FOURTH	isthmian_425
SECOND	isthmian_425
THIRD	isthmian_425
FIRST	isthmian_427
FOURTH	isthmian_427
SECOND	isthmian_427
THIRD	isthmian_427
FIRST	isthmian_429
FOURTH	isthmian_429
SECOND	isthmian_429
THIRD	isthmian_429
FIRST	isthmian_431
FOURTH	isthmian_431
SECOND	isthmian_431
THIRD	isthmian_431
FIRST	move_capital_rome
SECOND	move_capital_rome
FIRST	nemean_401
FOURTH	nemean_401
SECOND	nemean_401
THIRD	nemean_401
FIRST	nemean_403
FOURTH	nemean_403
SECOND	nemean_403
THIRD	nemean_403
FIRST	nemean_405
FOURTH	nemean_405
SECOND	nemean_405
THIRD	nemean_405
FIRST	nemean_407
FOURTH	nemean_407
SECOND	nemean_407
THIRD	nemean_407
FIRST	nemean_409
FOURTH	nemean_409
SECOND	nemean_409
THIRD	nemean_409
FIRST	nemean_411
FOURTH	nemean_411
SECOND	nemean_411
THIRD	nemean_411
FIRST	nemean_413
FOURTH	nemean_413
SECOND	nemean_413
THIRD	nemean_413
FIRST	nemean_415
FOURTH	nemean_415
SECOND	nemean_415
THIRD	nemean_415
FIRST	nemean_417
FOURTH	nemean_417
SECOND	nemean_417
THIRD	nemean_417
FIRST	nemean_419
FOURTH	nemean_419
SECOND	nemean_419
THIRD	nemean_419
FIRST	nemean_421
FOURTH	nemean_421
SECOND	nemean_421
THIRD	nemean_421
FIRST	nemean_423
FOURTH	nemean_423
SECOND	nemean_423
THIRD	nemean_423
FIRST	nemean_425
FOURTH	nemean_425
SECOND	nemean_425
THIRD	nemean_425
FIRST	nemean_427
FOURTH	nemean_427
SECOND	nemean_427
THIRD	nemean_427
FIRST	nemean_429
FOURTH	nemean_429
SECOND	nemean_429
THIRD	nemean_429
FIRST	nemean_431
FOURTH	nemean_431
SECOND	nemean_431
THIRD	nemean_431
FIRST	olympics_400
FOURTH	olympics_400
SECOND	olympics_400
THIRD	olympics_400
FIRST	olympics_404
FOURTH	olympics_404
SECOND	olympics_404
THIRD	olympics_404
FIRST	olympics_408
FOURTH	olympics_408
SECOND	olympics_408
THIRD	olympics_408
FIRST	olympics_412
FOURTH	olympics_412
SECOND	olympics_412
THIRD	olympics_412
FIRST	olympics_416
FOURTH	olympics_416
SECOND	olympics_416
THIRD	olympics_416
FIRST	olympics_420
FOURTH	olympics_420
SECOND	olympics_420
THIRD	olympics_420
FIRST	olympics_424
FOURTH	olympics_424
SECOND	olympics_424
THIRD	olympics_424
FIRST	olympics_428
FOURTH	olympics_428
SECOND	olympics_428
THIRD	olympics_428
FIRST	olympics_432
FOURTH	olympics_432
SECOND	olympics_432
THIRD	olympics_432
FIRST	political_event_adoption
SECOND	political_event_adoption
FIRST	political_event_appreciation
SECOND	political_event_appreciation
THIRD	political_event_appreciation
FIRST	political_event_assassination_plot
SECOND	political_event_assassination_plot
THIRD	political_event_assassination_plot
FIRST	political_event_blackmail
SECOND	political_event_blackmail
FIRST	political_event_flirt
SECOND	political_event_flirt
THIRD	political_event_flirt
FIRST	political_event_gather_support
SECOND	political_event_gather_support
FIRST	political_event_gift_received
SECOND	political_event_gift_received
FIRST	political_event_insult
SECOND	political_event_insult
FIRST	political_event_intimidate_opposition
SECOND	political_event_intimidate_opposition
FIRST	political_event_marriage
SECOND	political_event_marriage
FIRST	political_event_provoked
SECOND	political_event_provoked
THIRD	political_event_provoked
FIRST	political_event_riot_in_capital
SECOND	political_event_riot_in_capital
THIRD	political_event_riot_in_capital
FIRST	political_event_rival_banquet
SECOND	political_event_rival_banquet
THIRD	political_event_rival_banquet
FIRST	political_event_suicide
SECOND	political_event_suicide
FIRST	pythian_402
FOURTH	pythian_402
SECOND	pythian_402
THIRD	pythian_402
FIRST	pythian_406
FOURTH	pythian_406
SECOND	pythian_406
THIRD	pythian_406
FIRST	pythian_410
FOURTH	pythian_410
SECOND	pythian_410
THIRD	pythian_410
FIRST	pythian_414
FOURTH	pythian_414
SECOND	pythian_414
THIRD	pythian_414
FIRST	pythian_418
FOURTH	pythian_418
SECOND	pythian_418
THIRD	pythian_418
FIRST	pythian_422
FOURTH	pythian_422
SECOND	pythian_422
THIRD	pythian_422
FIRST	pythian_426
FOURTH	pythian_426
SECOND	pythian_426
THIRD	pythian_426
FIRST	pythian_430
FOURTH	pythian_430
SECOND	pythian_430
THIRD	pythian_430
FIRST	rom_abundant_fish
SECOND	rom_abundant_fish
FIRST	rom_agrarian_agitator
FOURTH	rom_agrarian_agitator
SECOND	rom_agrarian_agitator
THIRD	rom_agrarian_agitator
FIRST	rom_banning_corrupt
FOURTH	rom_banning_corrupt
SECOND	rom_banning_corrupt
THIRD	rom_banning_corrupt
FIRST	rom_blockade_bites
SECOND	rom_blockade_bites
FIRST	rom_border_dispute
SECOND	rom_border_dispute
FIRST	rom_corrupt_governor
SECOND	rom_corrupt_governor
FIRST	rom_empire_dilemma_carthaginian
SECOND	rom_empire_dilemma_carthaginian
FIRST	rom_empire_dilemma_roman
SECOND	rom_empire_dilemma_roman
FIRST	rom_hostile_dispute
FOURTH	rom_hostile_dispute
SECOND	rom_hostile_dispute
THIRD	rom_hostile_dispute
FIRST	rom_hostile_governor
FOURTH	rom_hostile_governor
SECOND	rom_hostile_governor
THIRD	rom_hostile_governor
FIRST	rom_looting
SECOND	rom_looting
FIRST	rom_migrating_people
SECOND	rom_migrating_people
FIRST	rom_noble_greed
SECOND	rom_noble_greed
FIRST	rom_on_the_edge
SECOND	rom_on_the_edge
FIRST	rom_riots
SECOND	rom_riots
FIRST	rom_secret_meetings
FOURTH	rom_secret_meetings
SECOND	rom_secret_meetings
THIRD	rom_secret_meetings
FIRST	rom_signs_against_us
SECOND	rom_signs_against_us
FIRST	rom_slavedriver
SECOND	rom_slavedriver
FIRST	rom_subject_barb_britons_sacred_sword
SECOND	rom_subject_barb_britons_sacred_sword
THIRD	rom_subject_barb_britons_sacred_sword
FIRST	rom_subject_barb_creature_1_white_faun
FOURTH	rom_subject_barb_creature_1_white_faun
SECOND	rom_subject_barb_creature_1_white_faun
THIRD	rom_subject_barb_creature_1_white_faun
FIRST	rom_subject_barb_family_member_1_brotherly_love
SECOND	rom_subject_barb_family_member_1_brotherly_love
THIRD	rom_subject_barb_family_member_1_brotherly_love
FIRST	rom_subject_barb_family_member_2_younger_son
SECOND	rom_subject_barb_family_member_2_younger_son
THIRD	rom_subject_barb_family_member_2_younger_son
FIRST	rom_subject_barb_family_member_3_kidnapped
SECOND	rom_subject_barb_family_member_3_kidnapped
THIRD	rom_subject_barb_family_member_3_kidnapped
FIRST	rom_subject_barb_family_member_3_kidnapped_followup
SECOND	rom_subject_barb_family_member_3_kidnapped_followup
THIRD	rom_subject_barb_family_member_3_kidnapped_followup
FIRST	rom_subject_barb_family_member_4_dead
FOURTH	rom_subject_barb_family_member_4_dead
SECOND	rom_subject_barb_family_member_4_dead
THIRD	rom_subject_barb_family_member_4_dead
FIRST	rom_subject_barb_family_member_5_long_lost_flavour
SECOND	rom_subject_barb_family_member_5_long_lost_flavour
THIRD	rom_subject_barb_family_member_5_long_lost_flavour
FIRST	rom_subject_barb_family_member_6_unfaithful_woman
SECOND	rom_subject_barb_family_member_6_unfaithful_woman
THIRD	rom_subject_barb_family_member_6_unfaithful_woman
FIRST	rom_subject_barb_family_member_7_hares
SECOND	rom_subject_barb_family_member_7_hares
THIRD	rom_subject_barb_family_member_7_hares
FIRST	rom_subject_barb_gaul_family_member_blessed_by_the_gods_1
SECOND	rom_subject_barb_gaul_family_member_blessed_by_the_gods_1
THIRD	rom_subject_barb_gaul_family_member_blessed_by_the_gods_1
FIRST	rom_subject_barb_profession_1_chariot
SECOND	rom_subject_barb_profession_1_chariot
THIRD	rom_subject_barb_profession_1_chariot
FIRST	rom_subject_barb_religious_1_looters
SECOND	rom_subject_barb_religious_1_looters
THIRD	rom_subject_barb_religious_1_looters
FIRST	rom_subject_barb_religious_2_talking_head
FOURTH	rom_subject_barb_religious_2_talking_head
SECOND	rom_subject_barb_religious_2_talking_head
THIRD	rom_subject_barb_religious_2_talking_head
FIRST	rom_subject_barb_religious_3_drought
SECOND	rom_subject_barb_religious_3_drought
THIRD	rom_subject_barb_religious_3_drought
FIRST	rom_subject_barb_religious_4_hag
SECOND	rom_subject_barb_religious_4_hag
THIRD	rom_subject_barb_religious_4_hag
FIRST	rom_subject_barb_religious_5_the_hunt
SECOND	rom_subject_barb_religious_5_the_hunt
THIRD	rom_subject_barb_religious_5_the_hunt
FIRST	rom_subject_barb_the_hunt
SECOND	rom_subject_barb_the_hunt
THIRD	rom_subject_barb_the_hunt
FIRST	rom_subject_barb_trade_1_Silk
FOURTH	rom_subject_barb_trade_1_Silk
SECOND	rom_subject_barb_trade_1_Silk
THIRD	rom_subject_barb_trade_1_Silk
FIRST	rom_subject_barb_trade_2_Spices
FOURTH	rom_subject_barb_trade_2_Spices
SECOND	rom_subject_barb_trade_2_Spices
THIRD	rom_subject_barb_trade_2_Spices
FIRST	rom_subject_barb_trade_3_Nisean
FOURTH	rom_subject_barb_trade_3_Nisean
SECOND	rom_subject_barb_trade_3_Nisean
THIRD	rom_subject_barb_trade_3_Nisean
FIRST	rom_subject_barb_trade_4_Wine
FOURTH	rom_subject_barb_trade_4_Wine
SECOND	rom_subject_barb_trade_4_Wine
THIRD	rom_subject_barb_trade_4_Wine
FIRST	rom_subject_barb_trade_5_tyrian_purple
SECOND	rom_subject_barb_trade_5_tyrian_purple
THIRD	rom_subject_barb_trade_5_tyrian_purple
FIRST	rom_subject_barb_vanquished_leader
SECOND	rom_subject_barb_vanquished_leader
THIRD	rom_subject_barb_vanquished_leader
FIRST	rom_subject_barb_witchcraft
SECOND	rom_subject_barb_witchcraft
THIRD	rom_subject_barb_witchcraft
FIRST	rom_subject_eastern_archon_1_death
SECOND	rom_subject_eastern_archon_1_death
THIRD	rom_subject_eastern_archon_1_death
FIRST	rom_subject_eastern_archon_2_plenty_slaves
FOURTH	rom_subject_eastern_archon_2_plenty_slaves
SECOND	rom_subject_eastern_archon_2_plenty_slaves
THIRD	rom_subject_eastern_archon_2_plenty_slaves
FIRST	rom_subject_eastern_archon_3_lack_slaves
SECOND	rom_subject_eastern_archon_3_lack_slaves
THIRD	rom_subject_eastern_archon_3_lack_slaves
FIRST	rom_subject_eastern_archon_4_evil_eye
SECOND	rom_subject_eastern_archon_4_evil_eye
THIRD	rom_subject_eastern_archon_4_evil_eye
FIRST	rom_subject_eastern_archon_5_Barren_land
FOURTH	rom_subject_eastern_archon_5_Barren_land
SECOND	rom_subject_eastern_archon_5_Barren_land
THIRD	rom_subject_eastern_archon_5_Barren_land
FIRST	rom_subject_eastern_concubine_1_foreign_beauty
SECOND	rom_subject_eastern_concubine_1_foreign_beauty
THIRD	rom_subject_eastern_concubine_1_foreign_beauty
FIRST	rom_subject_eastern_concubine_1_foreign_beauty_followup
FOURTH	rom_subject_eastern_concubine_1_foreign_beauty_followup
SECOND	rom_subject_eastern_concubine_1_foreign_beauty_followup
THIRD	rom_subject_eastern_concubine_1_foreign_beauty_followup
FIRST	rom_subject_eastern_concubine_2_killer_queen
SECOND	rom_subject_eastern_concubine_2_killer_queen
THIRD	rom_subject_eastern_concubine_2_killer_queen
FIRST	rom_subject_eastern_concubine_3_plots
SECOND	rom_subject_eastern_concubine_3_plots
THIRD	rom_subject_eastern_concubine_3_plots
FIRST	rom_subject_eastern_concubine_3_plots_followup
SECOND	rom_subject_eastern_concubine_3_plots_followup
THIRD	rom_subject_eastern_concubine_3_plots_followup
FIRST	rom_subject_eastern_creature_1_griffin
SECOND	rom_subject_eastern_creature_1_griffin
THIRD	rom_subject_eastern_creature_1_griffin
FIRST	rom_subject_eastern_creature_2_djinn
SECOND	rom_subject_eastern_creature_2_djinn
THIRD	rom_subject_eastern_creature_2_djinn
FIRST	rom_subject_eastern_creature_2_djinn_followup
SECOND	rom_subject_eastern_creature_2_djinn_followup
FIRST	rom_subject_eastern_family_member_1_revenge
SECOND	rom_subject_eastern_family_member_1_revenge
THIRD	rom_subject_eastern_family_member_1_revenge
FIRST	rom_subject_eastern_family_member_2_debauched
FOURTH	rom_subject_eastern_family_member_2_debauched
SECOND	rom_subject_eastern_family_member_2_debauched
THIRD	rom_subject_eastern_family_member_2_debauched
FIRST	rom_subject_eastern_family_member_2_debauched_followup
FOURTH	rom_subject_eastern_family_member_2_debauched_followup
SECOND	rom_subject_eastern_family_member_2_debauched_followup
THIRD	rom_subject_eastern_family_member_2_debauched_followup
FIRST	rom_subject_eastern_family_member_3_greek_lover
SECOND	rom_subject_eastern_family_member_3_greek_lover
THIRD	rom_subject_eastern_family_member_3_greek_lover
FIRST	rom_subject_eastern_family_member_3_greek_lover_followup
FOURTH	rom_subject_eastern_family_member_3_greek_lover_followup
SECOND	rom_subject_eastern_family_member_3_greek_lover_followup
THIRD	rom_subject_eastern_family_member_3_greek_lover_followup
FIRST	rom_subject_eastern_family_member_4_kidnapped
SECOND	rom_subject_eastern_family_member_4_kidnapped
THIRD	rom_subject_eastern_family_member_4_kidnapped
FIRST	rom_subject_eastern_profession_1_Goldsmith
SECOND	rom_subject_eastern_profession_1_Goldsmith
THIRD	rom_subject_eastern_profession_1_Goldsmith
FIRST	rom_subject_eastern_profession_2_rhyton
SECOND	rom_subject_eastern_profession_2_rhyton
THIRD	rom_subject_eastern_profession_2_rhyton
FIRST	rom_subject_eastern_profession_3_caravans
SECOND	rom_subject_eastern_profession_3_caravans
THIRD	rom_subject_eastern_profession_3_caravans
FIRST	rom_subject_eastern_profession_3_gosan
SECOND	rom_subject_eastern_profession_3_gosan
THIRD	rom_subject_eastern_profession_3_gosan
FIRST	rom_subject_eastern_religious_1_star_flood
SECOND	rom_subject_eastern_religious_1_star_flood
THIRD	rom_subject_eastern_religious_1_star_flood
FIRST	rom_subject_eastern_religious_2_dark_dreams
SECOND	rom_subject_eastern_religious_2_dark_dreams
FIRST	rom_subject_eastern_religious_2_dark_dreams_followup
SECOND	rom_subject_eastern_religious_2_dark_dreams_followup
THIRD	rom_subject_eastern_religious_2_dark_dreams_followup
FIRST	rom_subject_eastern_religious_3_star_prosperity
SECOND	rom_subject_eastern_religious_3_star_prosperity
THIRD	rom_subject_eastern_religious_3_star_prosperity
FIRST	rom_subject_eastern_religious_4_star_baby
SECOND	rom_subject_eastern_religious_4_star_baby
THIRD	rom_subject_eastern_religious_4_star_baby
FIRST	rom_subject_eastern_religious_4_star_baby_followup
FOURTH	rom_subject_eastern_religious_4_star_baby_followup
SECOND	rom_subject_eastern_religious_4_star_baby_followup
THIRD	rom_subject_eastern_religious_4_star_baby_followup
FIRST	rom_subject_eastern_trade_1_Silk
SECOND	rom_subject_eastern_trade_1_Silk
THIRD	rom_subject_eastern_trade_1_Silk
FIRST	rom_subject_eastern_trade_2_Nisean
SECOND	rom_subject_eastern_trade_2_Nisean
THIRD	rom_subject_eastern_trade_2_Nisean
FIRST	rom_subject_family_member_6_pirates_followup
SECOND	rom_subject_family_member_6_pirates_followup
FIRST	rom_subject_hellenic_family_member_1_debt
FOURTH	rom_subject_hellenic_family_member_1_debt
SECOND	rom_subject_hellenic_family_member_1_debt
THIRD	rom_subject_hellenic_family_member_1_debt
FIRST	rom_subject_hellenic_family_member_2_debt_own
SECOND	rom_subject_hellenic_family_member_2_debt_own
THIRD	rom_subject_hellenic_family_member_2_debt_own
FIRST	rom_subject_hellenic_family_member_3_promising
SECOND	rom_subject_hellenic_family_member_3_promising
THIRD	rom_subject_hellenic_family_member_3_promising
FIRST	rom_subject_hellenic_family_member_4_Agamemnon
SECOND	rom_subject_hellenic_family_member_4_Agamemnon
THIRD	rom_subject_hellenic_family_member_4_Agamemnon
FIRST	rom_subject_hellenic_family_member_4_Agamemnon_followup
SECOND	rom_subject_hellenic_family_member_4_Agamemnon_followup
FIRST	rom_subject_hellenic_family_member_debt_own_followup
SECOND	rom_subject_hellenic_family_member_debt_own_followup
FIRST	rom_subject_hellenic_hetaira_1
FOURTH	rom_subject_hellenic_hetaira_1
SECOND	rom_subject_hellenic_hetaira_1
THIRD	rom_subject_hellenic_hetaira_1
FIRST	rom_subject_hellenic_hetaira_2
FOURTH	rom_subject_hellenic_hetaira_2
SECOND	rom_subject_hellenic_hetaira_2
THIRD	rom_subject_hellenic_hetaira_2
FIRST	rom_subject_hellenic_hetaira_3
FOURTH	rom_subject_hellenic_hetaira_3
SECOND	rom_subject_hellenic_hetaira_3
THIRD	rom_subject_hellenic_hetaira_3
FIRST	rom_subject_hellenic_hetaira_4
SECOND	rom_subject_hellenic_hetaira_4
THIRD	rom_subject_hellenic_hetaira_4
FIRST	rom_subject_hellenic_magistrate_1_Barren_land
FOURTH	rom_subject_hellenic_magistrate_1_Barren_land
SECOND	rom_subject_hellenic_magistrate_1_Barren_land
THIRD	rom_subject_hellenic_magistrate_1_Barren_land
FIRST	rom_subject_hellenic_magistrate_2_Wine
SECOND	rom_subject_hellenic_magistrate_2_Wine
FIRST	rom_subject_hellenic_magistrate_3_lack_slaves
SECOND	rom_subject_hellenic_magistrate_3_lack_slaves
THIRD	rom_subject_hellenic_magistrate_3_lack_slaves
FIRST	rom_subject_hellenic_magistrate_4_plenty_slaves
SECOND	rom_subject_hellenic_magistrate_4_plenty_slaves
THIRD	rom_subject_hellenic_magistrate_4_plenty_slaves
FIRST	rom_subject_hellenic_magistrate_5_bad_wife
SECOND	rom_subject_hellenic_magistrate_5_bad_wife
THIRD	rom_subject_hellenic_magistrate_5_bad_wife
FIRST	rom_subject_hellenic_profession_1_Goldsmith
SECOND	rom_subject_hellenic_profession_1_Goldsmith
THIRD	rom_subject_hellenic_profession_1_Goldsmith
FIRST	rom_subject_hellenic_profession_2_Blacksmith
SECOND	rom_subject_hellenic_profession_2_Blacksmith
THIRD	rom_subject_hellenic_profession_2_Blacksmith
FIRST	rom_subject_hellenic_profession_4_Priestess
FOURTH	rom_subject_hellenic_profession_4_Priestess
SECOND	rom_subject_hellenic_profession_4_Priestess
THIRD	rom_subject_hellenic_profession_4_Priestess
FIRST	rom_subject_hellenic_profession_5_Librarian
SECOND	rom_subject_hellenic_profession_5_Librarian
THIRD	rom_subject_hellenic_profession_5_Librarian
FIRST	rom_subject_hellenic_profession_6_Slaver
FOURTH	rom_subject_hellenic_profession_6_Slaver
SECOND	rom_subject_hellenic_profession_6_Slaver
THIRD	rom_subject_hellenic_profession_6_Slaver
FIRST	rom_subject_hellenic_profession_7_Miner
SECOND	rom_subject_hellenic_profession_7_Miner
FIRST	rom_subject_hellenic_religions_1_Dodona
FOURTH	rom_subject_hellenic_religions_1_Dodona
SECOND	rom_subject_hellenic_religions_1_Dodona
THIRD	rom_subject_hellenic_religions_1_Dodona
FIRST	rom_subject_hellenic_religious_2_Dodona
FOURTH	rom_subject_hellenic_religious_2_Dodona
SECOND	rom_subject_hellenic_religious_2_Dodona
THIRD	rom_subject_hellenic_religious_2_Dodona
FIRST	rom_subject_hellenic_religious_3_Chalcon
FOURTH	rom_subject_hellenic_religious_3_Chalcon
SECOND	rom_subject_hellenic_religious_3_Chalcon
THIRD	rom_subject_hellenic_religious_3_Chalcon
FIRST	rom_subject_hellenic_religious_4_Delphoi
FOURTH	rom_subject_hellenic_religious_4_Delphoi
SECOND	rom_subject_hellenic_religious_4_Delphoi
THIRD	rom_subject_hellenic_religious_4_Delphoi
FIRST	rom_subject_hellenic_religious_5_Epidaurus
FOURTH	rom_subject_hellenic_religious_5_Epidaurus
SECOND	rom_subject_hellenic_religious_5_Epidaurus
THIRD	rom_subject_hellenic_religious_5_Epidaurus
FIRST	rom_subject_hellenic_religious_6_hedonistic
SECOND	rom_subject_hellenic_religious_6_hedonistic
THIRD	rom_subject_hellenic_religious_6_hedonistic
FIRST	rom_subject_hellenic_religious_7_Bura
FOURTH	rom_subject_hellenic_religious_7_Bura
SECOND	rom_subject_hellenic_religious_7_Bura
THIRD	rom_subject_hellenic_religious_7_Bura
FIRST	rom_subject_hellenic_slaves_1_secrets
SECOND	rom_subject_hellenic_slaves_1_secrets
THIRD	rom_subject_hellenic_slaves_1_secrets
FIRST	rom_subject_hellenic_slaves_2_Thracian
SECOND	rom_subject_hellenic_slaves_2_Thracian
THIRD	rom_subject_hellenic_slaves_2_Thracian
FIRST	rom_subject_hellenic_slaves_3_slavedriver
SECOND	rom_subject_hellenic_slaves_3_slavedriver
THIRD	rom_subject_hellenic_slaves_3_slavedriver
FIRST	rom_subject_hellenic_trade_1_Silk
FOURTH	rom_subject_hellenic_trade_1_Silk
SECOND	rom_subject_hellenic_trade_1_Silk
THIRD	rom_subject_hellenic_trade_1_Silk
FIRST	rom_subject_hellenic_trade_2_Spices
FOURTH	rom_subject_hellenic_trade_2_Spices
SECOND	rom_subject_hellenic_trade_2_Spices
THIRD	rom_subject_hellenic_trade_2_Spices
FIRST	rom_subject_hellenic_trade_3_Nisean
FOURTH	rom_subject_hellenic_trade_3_Nisean
SECOND	rom_subject_hellenic_trade_3_Nisean
THIRD	rom_subject_hellenic_trade_3_Nisean
FIRST	rom_subject_roman_creature_dolphin
SECOND	rom_subject_roman_creature_dolphin
THIRD	rom_subject_roman_creature_dolphin
FIRST	rom_subject_roman_creature_white_faun_1
FOURTH	rom_subject_roman_creature_white_faun_1
SECOND	rom_subject_roman_creature_white_faun_1
THIRD	rom_subject_roman_creature_white_faun_1
FIRST	rom_subject_roman_cult_1
SECOND	rom_subject_roman_cult_1
THIRD	rom_subject_roman_cult_1
FIRST	rom_subject_roman_family_member_1_blessed
SECOND	rom_subject_roman_family_member_1_blessed
THIRD	rom_subject_roman_family_member_1_blessed
FIRST	rom_subject_roman_family_member_2_harlot
SECOND	rom_subject_roman_family_member_2_harlot
THIRD	rom_subject_roman_family_member_2_harlot
FIRST	rom_subject_roman_family_member_2_harlot_followup
SECOND	rom_subject_roman_family_member_2_harlot_followup
THIRD	rom_subject_roman_family_member_2_harlot_followup
FIRST	rom_subject_roman_family_member_3_long_lost
SECOND	rom_subject_roman_family_member_3_long_lost
THIRD	rom_subject_roman_family_member_3_long_lost
FIRST	rom_subject_roman_family_member_4_Vicious_words
SECOND	rom_subject_roman_family_member_4_Vicious_words
THIRD	rom_subject_roman_family_member_4_Vicious_words
FIRST	rom_subject_roman_family_member_5_Child_mars
SECOND	rom_subject_roman_family_member_5_Child_mars
THIRD	rom_subject_roman_family_member_5_Child_mars
FIRST	rom_subject_roman_family_member_6_pirates
SECOND	rom_subject_roman_family_member_6_pirates
FIRST	rom_subject_roman_family_member_6_surgeon
SECOND	rom_subject_roman_family_member_6_surgeon
THIRD	rom_subject_roman_family_member_6_surgeon
FIRST	rom_subject_roman_general_cloaka_maxima
SECOND	rom_subject_roman_general_cloaka_maxima
THIRD	rom_subject_roman_general_cloaka_maxima
FIRST	rom_subject_roman_guardian_1
FOURTH	rom_subject_roman_guardian_1
SECOND	rom_subject_roman_guardian_1
THIRD	rom_subject_roman_guardian_1
FIRST	rom_subject_roman_guardian_1_followup
SECOND	rom_subject_roman_guardian_1_followup
THIRD	rom_subject_roman_guardian_1_followup
FIRST	rom_subject_roman_legate_1_Poisoner
SECOND	rom_subject_roman_legate_1_Poisoner
THIRD	rom_subject_roman_legate_1_Poisoner
FIRST	rom_subject_roman_legate_1_Poisoner_followup
SECOND	rom_subject_roman_legate_1_Poisoner_followup
THIRD	rom_subject_roman_legate_1_Poisoner_followup
FIRST	rom_subject_roman_legate_2_Horned
SECOND	rom_subject_roman_legate_2_Horned
THIRD	rom_subject_roman_legate_2_Horned
FIRST	rom_subject_roman_legate_3_Lack_slaves
SECOND	rom_subject_roman_legate_3_Lack_slaves
THIRD	rom_subject_roman_legate_3_Lack_slaves
FIRST	rom_subject_roman_legate_4_Plenty_slaves
SECOND	rom_subject_roman_legate_4_Plenty_slaves
THIRD	rom_subject_roman_legate_4_Plenty_slaves
FIRST	rom_subject_roman_profession_1_Stranger
SECOND	rom_subject_roman_profession_1_Stranger
THIRD	rom_subject_roman_profession_1_Stranger
