id	trigger	trait	value	chance
4033	inv_sp_trait_female_non_roman_background_fighter	inv_sp_trait_female_non_roman_background_fighter	1	-1
4034	inv_sp_trait_non_roman_virtues_personal_industriousness	inv_sp_trait_non_roman_virtues_personal_industriousness	1	-1
4036	inv_sp_trait_female_non_roman_virtues_personal_industriousness	inv_sp_trait_female_non_roman_virtues_personal_industriousness	1	-1
4041	r2_sp_trait_rome_eunuch	r2_sp_trait_rome_eunuch	1	0
4042	r2_sp_trait_all_agent_army_assault_unit_success_trigger	r2_sp_trait_all_agent_army_assault_unit	1	20
4045	r2_sp_trait_all_agent_army_intercept_orders_success_trigger	r2_sp_trait_all_agent_army_intercept_orders	1	20
4046	r2_sp_trait_all_agent_army_poison_provisions_success_trigger	r2_sp_trait_all_agent_army_poison_provisions	1	20
4053	r2_sp_trait_all_agent_army_show_force_success_trigger	r2_sp_trait_all_agent_army_show_force	1	50
4056	r2_sp_trait_all_agent_army_threaten_success_trigger	r2_sp_trait_all_agent_army_threaten	1	20
4058	r2_sp_trait_all_agent_army_undermine_authority_success_trigger	r2_sp_trait_all_agent_army_undermine_authority	1	20
4068	r2_sp_trait_all_agent_army_wreck_supplies_success_trigger	r2_sp_trait_all_agent_army_wreck_supplies	1	20
4077	r2_sp_trait_all_agent_character_kill_concealed_blade_success_trigger	r2_sp_trait_all_agent_character_kill_concealed_blade	1	30
4087	r2_sp_trait_all_agent_character_kill_provocation_success_trigger	r2_sp_trait_all_agent_character_kill_provocation	1	20
4093	r2_sp_trait_all_agent_character_kill_single_combat_success_trigger	r2_sp_trait_all_agent_character_kill_single_combat	1	20
4103	r2_sp_trait_all_agent_civil_admin_trigger	r2_sp_trait_all_non_roman_agent_deployed_friendly_civil_admin	1	20
4109	r2_sp_trait_all_agent_civil_corrupt_trigger	r2_sp_trait_all_agent_deployed_foreign_corrupt	1	20
4116	r2_sp_trait_all_agent_counterspy_trigger	r2_sp_trait_all_agent_deployed_friendly_counterspy	1	20
4122	r2_sp_trait_all_agent_harass_trigger	r2_sp_trait_all_agent_army_foreign_harass_guerrilla	1	20
4128	r2_sp_trait_all_agent_infiltrate_trigger	r2_sp_trait_all_agent_deployed_foreign_infiltrate	1	20
4136	r2_sp_trait_all_agent_instructor_trigger	r2_sp_trait_all_agent_army_instructor	1	20
4145	r2_sp_trait_all_agent_military_admin_trigger	r2_sp_trait_all_non_roman_agent_army_friendly_military_admin	1	20
4152	r2_sp_trait_all_agent_passive_adventurer_trigger	r2_sp_trait_all_agent_passive_adventurer	1	20
4153	r2_sp_trait_all_agent_cultural_proponent_trigger	r2_sp_trait_all_agent_passive_cultural_proponent	1	20
4155	r2_sp_trait_all_agent_reconaissance_trigger	r2_sp_trait_all_agent_army_friendly_reconaissance	1	20
4159	r2_sp_trait_all_agent_bribe_blackmail_trigger	r2_sp_trait_all_agent_seduce_coercion_1	1	20
4169	r2_sp_trait_all_agent_bribe_persuade_trigger	r2_sp_trait_all_agent_character_seduce_persuasion	1	20
4176	r2_sp_trait_all_agent_settle_assault_garrison_trigger	r2_sp_trait_all_agent_settle_assault_garrison	1	20
4179	r2_sp_trait_all_agent_settle_buy_off_trigger	r2_sp_trait_all_agent_settle_buy_off	1	20
4182	r2_sp_trait_all_agent_settle_commit_arson_trigger	r2_sp_trait_all_agent_settle_commit_arson	1	20
4183	r2_sp_trait_all_agent_settle_cultural_propaganda_trigger	r2_sp_trait_all_agent_settle_cultural_propaganda	1	20
4187	r2_sp_trait_all_agent_settle_incite_unrest_trigger	r2_sp_trait_all_agent_settle_incite_unrest	1	20
4189	r2_sp_trait_all_agent_settle_raid_trigger	r2_sp_trait_all_agent_settle_raid	1	5
4194	r2_sp_trait_all_agent_settle_rally_slaves_trigger	r2_sp_trait_all_agent_settle_rally_slaves	1	20
4196	r2_sp_trait_all_agent_solicit_traitor_trigger	r2_sp_trait_all_agent_character_kill_solicit_traitor	1	5
