effect_bundle	political_party_key	power_level
political_support_very_high	rom_politics_rome_junia	60
political_support_very_low	rom_politics_rome_junia	10
political_support_average	rom_politics_roxolani_ruler	45
political_support_best	rom_politics_roxolani_ruler	60
political_support_high	rom_politics_roxolani_ruler	70
political_support_low	rom_politics_roxolani_ruler	30
political_support_max	rom_politics_roxolani_ruler	90
political_support_min	rom_politics_roxolani_ruler	0
political_support_very_high	rom_politics_roxolani_ruler	80
political_support_very_low	rom_politics_roxolani_ruler	15
political_support_average	rom_politics_royal_scythian_ruler	45
political_support_best	rom_politics_royal_scythian_ruler	60
political_support_high	rom_politics_royal_scythian_ruler	70
political_support_low	rom_politics_royal_scythian_ruler	30
political_support_max	rom_politics_royal_scythian_ruler	90
political_support_min	rom_politics_royal_scythian_ruler	0
political_support_very_high	rom_politics_royal_scythian_ruler	80
political_support_very_low	rom_politics_royal_scythian_ruler	15
political_support_average	rom_politics_saba_ruler	45
political_support_best	rom_politics_saba_ruler	60
political_support_high	rom_politics_saba_ruler	70
political_support_low	rom_politics_saba_ruler	30
political_support_max	rom_politics_saba_ruler	90
political_support_min	rom_politics_saba_ruler	0
political_support_very_high	rom_politics_saba_ruler	80
political_support_very_low	rom_politics_saba_ruler	15
political_support_average	rom_politics_seleucid_seleucids	45
political_support_best	rom_politics_seleucid_seleucids	60
political_support_high	rom_politics_seleucid_seleucids	70
political_support_low	rom_politics_seleucid_seleucids	30
political_support_max	rom_politics_seleucid_seleucids	90
political_support_min	rom_politics_seleucid_seleucids	0
political_support_very_high	rom_politics_seleucid_seleucids	80
political_support_very_low	rom_politics_seleucid_seleucids	15
political_support_average	rom_politics_sparta_ruler	45
political_support_best	rom_politics_sparta_ruler	60
political_support_high	rom_politics_sparta_ruler	70
political_support_low	rom_politics_sparta_ruler	30
political_support_max	rom_politics_sparta_ruler	90
political_support_min	rom_politics_sparta_ruler	0
political_support_very_high	rom_politics_sparta_ruler	80
political_support_very_low	rom_politics_sparta_ruler	15
political_support_average	rom_politics_suebi_ruler	45
political_support_best	rom_politics_suebi_ruler	60
political_support_high	rom_politics_suebi_ruler	70
political_support_low	rom_politics_suebi_ruler	30
political_support_max	rom_politics_suebi_ruler	90
political_support_min	rom_politics_suebi_ruler	0
political_support_very_high	rom_politics_suebi_ruler	80
political_support_very_low	rom_politics_suebi_ruler	15
political_support_average	rom_politics_syracuse_ruler	45
political_support_best	rom_politics_syracuse_ruler	60
political_support_high	rom_politics_syracuse_ruler	70
political_support_low	rom_politics_syracuse_ruler	30
political_support_max	rom_politics_syracuse_ruler	90
political_support_min	rom_politics_syracuse_ruler	0
political_support_very_high	rom_politics_syracuse_ruler	80
political_support_very_low	rom_politics_syracuse_ruler	15
political_support_average	rom_politics_tylis_ruler	45
political_support_best	rom_politics_tylis_ruler	60
political_support_high	rom_politics_tylis_ruler	70
political_support_low	rom_politics_tylis_ruler	30
political_support_max	rom_politics_tylis_ruler	90
political_support_min	rom_politics_tylis_ruler	0
political_support_very_high	rom_politics_tylis_ruler	80
political_support_very_low	rom_politics_tylis_ruler	15
