key	type	walk_speed	run_speed	acceleration	deceleration	charge_speed	crawl_speed	charge_distance_commence_run	charge_distance_adopt_charge_pose	charge_distance_pick_target	radius	shape	radii_ratio	mass	height	fire_arc_close	fire_arc_loose	turn_speed	hit_points	allow_turn_to_move_anim	allow_static_turn_anim	tracking_threshold	min_turning_speed	display_model_offset_z
rome_infantry_medium_fast_barb	man	1.6000	3.4000	2.0000	3.0000	5.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	140.0000	1.7000	120.0000	120.0000	120.0000	45	true	true	1.4500	0.0000	0.0000
rome_infantry_spartan	man	1.0000	3.0000	2.0000	3.0000	3.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	160.0000	1.7000	120.0000	120.0000	90.0000	50	true	true	1.4500	0.0000	0.0000
rome_infantry_very_heavy	man	1.2000	2.8000	2.0000	3.0000	3.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	160.0000	1.7000	120.0000	120.0000	90.0000	45	true	true	1.4500	0.0000	0.0000
rome_infantry_very_heavy_fast	man	1.4000	3.0000	2.0000	3.0000	4.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	160.0000	1.7000	120.0000	120.0000	120.0000	45	true	true	1.4500	0.0000	0.0000
rome_infantry_very_heavy_pike	man	1.2000	2.8000	2.0000	3.0000	3.5000	0.8000	35.0000	35.0000	35.0000	0.3500	circle	1.0000	160.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_very_light	man	2.0000	3.8000	2.0000	3.0000	5.5000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	40.0000	1.7000	120.0000	120.0000	90.0000	40	true	true	1.4500	0.0000	0.0000
rome_infantry_very_light_fast	man	2.2000	4.0000	2.0000	3.0000	6.0000	0.8000	35.0000	35.0000	35.0000	0.4000	circle	1.0000	40.0000	1.7000	120.0000	120.0000	120.0000	40	true	true	1.4500	0.0000	0.0000
sambuca	artillery	2.5000	2.4000	2.0000	2.0000	2.2000	0.7000	30.0000	20.0000	20.0000	1.5000	ellipse	0.5000	1500.0000	1.3000	360.0000	360.0000	45.0000	450	true	true	1.4500	0.0000	0.0000
siege_gallery	artillery	1.4000	2.0000	1.0000	2.0000	2.0000	0.7000	30.0000	20.0000	20.0000	7.5000	capsule	0.5000	2000.0000	8.0000	0.0000	0.0000	5.0000	150	true	true	1.4500	1.2000	0.0000
siege_ladder_15m	artillery	2.2000	1.8000	1.0000	3.0000	2.0000	1.0000	5.0000	5.0000	1.0000	3.6000	capsule	0.8000	3500.0000	19.0000	30.0000	45.0000	30.0000	500	true	true	1.4500	0.0000	0.0000
siege_ladder_8m	artillery	2.4000	1.8000	1.0000	3.0000	2.0000	1.0000	5.0000	5.0000	1.0000	2.8000	capsule	0.8000	3000.0000	19.0000	30.0000	45.0000	30.0000	500	true	true	1.4500	0.0000	0.0000
siege_tower	artillery	1.7000	1.6000	1.0000	3.0000	2.0000	1.0000	5.0000	5.0000	1.0000	3.5000	capsule	0.8000	4000.0000	19.0000	30.0000	45.0000	30.0000	500	true	true	1.4500	0.0000	0.0000
tortoise	artillery	1.2000	1.1000	1.0000	3.0000	1.1000	0.7000	30.0000	20.0000	20.0000	7.5000	circle	1.0000	2000.0000	8.0000	0.0000	0.0000	5.0000	150	true	true	1.4500	1.2000	0.0000
