ability	land_unit
form_flying_wedge	Rom_Legionary_Cav
form_testudo	Rom_Legionary_Cohort
form_cavalry_testudo	Rom_Praetorian_Cav
form_flying_wedge	Rom_Praetorian_Cav
form_testudo	Rom_Praetorian_Guard
use_the_whip	Rom_Praetorian_Guard
form_testudo	Rom_Praetorians
use_the_whip	Rom_Praetorians
form_testudo	Rom_Principes
form_pike_square	Rom_Rorarii
form_pike_square	Rom_Triarii
form_testudo_defensive	Rom_Triarii
form_testudo	Rom_Vet_Legionaries
form_pike_square	Rom_Vigiles
cantabrian_circle	Ste_Amazonian_Riders
cantabrian_circle	Ste_Armour_Horse_Archers
precision_shot	Ste_Armour_Horse_Archers
cantabrian_circle	Ste_Horse_Archers
cantabrian_circle	Ste_Horse_Skirm
cantabrian_circle	Ste_Noble_Horse_Archers
precision_shot	Ste_Noble_Horse_Archers
cantabrian_circle	Ste_Noblewomen
precision_shot	Ste_Noblewomen
cantabrian_circle	Ste_Royal_Horse_Archers
precision_shot	Ste_Royal_Horse_Archers
cantabrian_circle	Ste_Saka_Cataphract_Horse_Archers
precision_shot	Ste_Saka_Cataphract_Horse_Archers
trample	Ste_Saka_Cataphracts
draco	Ste_Saka_Noble_Armour_Lancers
draco	Ste_Sarmatian_Horsemen
draco	Ste_Sarmatian_Riders
draco	Ste_Scythian_Royal_Horse
cantabrian_circle	Ste_Scythian_Royal_Skirmishers
precision_shot	Ste_Scythian_Royal_Skirmishers
form_pike_square	Ste_Spear
form_pike_square	Ste_Tribesmen
form_wedge	Thr_Horsemen
frenzied_charge	Thr_Horsemen
headhunt	Thr_Nobles
quick_reload	Thr_Peltasts
form_wedge	Thr_Royal_Cav
form_flying_wedge	dk_afr_armoured_desert_cavalry
form_pike_square	dk_ara_caravan_guard
kill_elephants	dk_kush_african_elephants
stampede	dk_kush_african_elephants
kill_elephants	dk_kush_african_war_elephants
stampede	dk_kush_african_war_elephants
form_shield_wall	dk_kush_armoured_shotel_warriors
frenzy	dk_kush_disciples_of_apedemak
headhunt	dk_kush_disciples_of_apedemak
quick_reload	dk_kush_kushite_bowwomen
form_pike_wall	dk_kush_kushite_pikes
form_diamond	dk_kush_kushite_royal_guard
form_pike_square	dk_kush_leopard_warriors
frenzied_charge_inf	dk_kush_leopard_warriors
quick_reload	dk_kush_royal_kushite_archers
form_shield_wall	dk_kush_shotel_warriors
form_hoplite_phalanx	dk_nab_armoured_desert_hoplites
form_hoplite_phalanx	dk_nab_desert_hoplites
form_pike_wall	dk_nab_desert_pikemen
cavalry_counter_tactics	dk_nab_heavy_desert_spearmen
form_shield_screen	dk_nab_heavy_desert_spearmen
form_diamond	dk_nab_hellenic_desert_cataphracts
trample	dk_nab_hellenic_desert_cataphracts
frenzied_charge_inf	dk_nab_nabatean_axe_warriors
quick_reload	dk_nab_nabatean_light_peltasts
form_diamond	dk_nab_nabatean_noble_cavalry
form_pike_wall	dk_nab_nabatean_thorax_pikes
cavalry_counter_tactics	dk_nab_rekem_palace_guard
form_shield_screen	dk_nab_rekem_palace_guard
kill_elephants	dk_num_african_elephants
stampede	dk_num_african_elephants
cavalry_counter_tactics	dk_num_armoured_numidian_spearmen
form_shield_screen	dk_num_armoured_numidian_spearmen
form_testudo	dk_num_desert_cohort
form_testudo	dk_num_desert_legionaries
form_cavalry_testudo	dk_num_desert_legionary_cavalry
form_flying_wedge	dk_num_desert_legionary_cavalry
form_pike_square	dk_num_desert_vigiles
frenzy	dk_num_gaetuli_tribesmen
quick_reload	dk_num_heavy_numidian_skirmishers
form_diamond	dk_saba_marib_camel_cataphracts
trample	dk_saba_marib_camel_cataphracts
cavalry_counter_tactics	dk_saba_marib_royal_guard
form_shield_screen	dk_saba_marib_royal_guard
frenzied_charge	dk_saba_mer_himyar_cavalry
cavalry_counter_tactics	dk_saba_mer_marib_guard
form_shield_wall	dk_saba_mer_marib_guard
frenzied_charge_inf	dk_saba_merc_maas_gat_marauders
form_diamond	dk_saba_royal_marib_cavalry
trample	dk_saba_sabaean_camel_cataphracts
form_shield_screen	dk_saba_sabaean_spearmen
kill_elephants	inv_african_elephants
stampede	inv_african_elephants
form_hoplite_phalanx	inv_app_hoplites
form_hoplite_phalanx	inv_app_noble_hoplites
quick_reload	inv_apulian_archers
rapid_advance	inv_brutii_slingers
rapid_advance	inv_brutii_tribesmen
quick_reload	inv_car_carthaginian_peltasts
form_hoplite_phalanx	inv_car_hoplites
form_hoplite_phalanx	inv_car_sacred_band
form_hoplite_phalanx	inv_carthaginian_spearmen
form_shield_wall	inv_etr_city_guard
form_hoplite_phalanx	inv_etr_heavy_hoplites
form_hoplite_phalanx	inv_etr_hoplites
form_shield_wall	inv_etr_light_spearmen
form_hoplite_phalanx	inv_gre_hoplites
form_hoplite_phalanx	inv_gre_light_hoplites
form_hoplite_phalanx	inv_ill_hoplites
killing_spree	inv_ill_nobles
form_shield_wall	inv_ins_gallic_heavy_spearmen
quick_reload	inv_iol_iolean_javelinmen
precision_shot	inv_iol_noble_sardi_archers
rapid_advance	inv_iol_nuragic_ambushers
form_shield_wall	inv_iol_nuragic_shield_wall
frenzy	inv_iol_nuragic_warriors
frenzy	inv_iol_sardi_axemen
quick_reload	inv_iol_sardi_bowmen
frenzied_charge	inv_iol_sherden_horsemen
killing_spree	inv_iol_sherden_swordsmen
form_shield_wall	inv_ita_veteran_spearmen
killing_spree	inv_ita_veteran_swordsmen
frenzied_charge_inf	inv_ligurian_axe_warriors
frenzied_charge_inf	inv_ligurian_swordsmen
rapid_advance	inv_lucanian_ambushers
rapid_advance	inv_lucanian_warriors
kill_elephants	inv_mercenary_african_elephants
stampede	inv_mercenary_african_elephants
precision_shot	inv_mercenary_artas'_chosen
quick_reload	inv_mercenary_balearic_slingers
rapid_advance	inv_mercenary_brutti_veterans
form_hoplite_phalanx	inv_mercenary_carthaginian_hoplites
precision_shot	inv_mercenary_cretan_archers
form_hoplite_phalanx	inv_mercenary_etruscan_hoplites
frenzied_charge	inv_mercenary_gallic_axe_cavalry
frenzied_charge_inf	inv_mercenary_gallic_axemen
form_hoplite_phalanx	inv_mercenary_hoplites
form_hoplite_phalanx	inv_mercenary_ill_hoplites
frenzied_charge_inf	inv_mercenary_ligurian_axe_warriors
frenzied_charge_inf	inv_mercenary_ligurian_swordsmen
rapid_advance	inv_mercenary_lucanian_veterans
form_hoplite_phalanx	inv_mercenary_massilian_hoplites
form_hoplite_phalanx	inv_mercenary_sileraioi_hoplites
form_hoplite_phalanx	inv_mercenary_spartan_hoplites
form_pike_square	inv_mercenary_umbrian_defenders
form_hoplite_phalanx	inv_rom_centuriae
form_hoplite_phalanx	inv_rom_roman_light_hoplites
form_pike_square	inv_rom_triarii
quick_reload	inv_rom_velites
form_hoplite_phalanx	inv_rom_veteran_centuriae
form_shield_wall	inv_sam_armoured_spearmen
frenzied_charge_inf	inv_sam_hirpinian_warriors
form_pike_square	inv_sam_linen_legion
killing_spree	inv_sam_silver_infantryman
precision_shot	inv_sar_corsic_marksmen
frenzied_charge	inv_sen_gallic_axe_cavalry
frenzied_charge_inf	inv_sen_gallic_axemen
frenzied_charge_inf	inv_sen_naked_warriors
frenzied_charge	inv_sen_noble_horsemen
frenzied_charge_inf	inv_sen_noble_swordsmen
frenzy	inv_sen_tribeless_spearmen
frenzy	inv_sen_tribeless_warriors
form_hoplite_phalanx	inv_syr_elite_hoplites
form_hoplite_phalanx	inv_tar_tarantine_hoplites
quick_reload	inv_tar_tarantine_peltasts
form_shield_wall	inv_umbrian_hillmen
form_shield_wall	inv_umbrian_spearmen
rapid_advance	inv_ven_ambushers
quick_reload	inv_ven_veneti_outriders
form_shield_wall	inv_ven_veneti_spearmen
form_shield_wall	inv_volsci_spearmen
frenzied_charge_inf	test_test
warcry	test_test
