building_chain	building_instance	building_or_building_range_start_inclusive	building_range_end_inclusive	building_super_chain	cai_construction_system_category	cai_construction_system_category_group	campaign	culture	faction	sub_culture	per_faction_building_limit_start	per_faction_building_limit_end	per_faction_building_minimum_discount_when_exceeding_limit_start	per_faction_building_maximum_discount_when_exceeding_limit_start	per_faction_building_minimum_discount_when_exceeding_limit_end	per_faction_building_maximum_discount_when_exceeding_limit_end	per_faction_per_building_discount_increment_when_exceeding_limit_start	per_faction_per_building_discount_increment_when_exceeding_limit_end	per_province_building_limit_start	per_province_building_limit_end	per_province_building_minimum_discount_when_exceeding_limit_start	per_province_building_maximum_discount_when_exceeding_limit_start	per_province_building_minimum_discount_when_exceeding_limit_end	per_province_building_maximum_discount_when_exceeding_limit_end	per_province_per_building_discount_increment_when_exceeding_limit_start	per_province_per_building_discount_increment_when_exceeding_limit_end	score_end_inclusive	score_or_score_start_inclusive
		barb_craftsmen_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	80
		barb_craftsmen_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	300
		barb_craftsmen_pot_2	barb_craftsmen_pot_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		barb_craftsmen_salt_2	barb_craftsmen_salt_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		barb_craftsmen_wood_2	barb_craftsmen_wood_4		cai_category_military_land_artillery	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	21000	6200	19000	5500	19000	5500	22000	6500
		barb_craftsmen_wood_2	barb_craftsmen_wood_4		cai_category_military_land_infantry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	8500	2900	7500	2600	7500	2600	9000	3000
		barb_craftsmen_wood_2	barb_craftsmen_wood_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1250	250
		barb_horse_1	barb_horse_3								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	15
		barb_iron_1									-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	15
		barb_iron_armour_2	barb_iron_armour_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	3000	1500
		barb_iron_weapon_2	barb_iron_weapon_3			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	3000	1500
		barb_military_buff_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	200
		barb_military_buff_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	200
		barb_military_buff_gold_2	barb_military_buff_gold_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3000
		barb_military_buff_gold_2	barb_military_buff_gold_4		cai_category_military_land_cavalry_shock	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3000
		barb_military_buff_gold_2	barb_military_buff_gold_4		cai_category_military_land_infantry_spearmen	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	4500
		barb_military_buff_gold_2	barb_military_buff_gold_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		barb_military_buff_grounds_2	barb_military_buff_grounds_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	6000
		barb_military_buff_grounds_2	barb_military_buff_grounds_4		cai_category_military_land_cavalry_shock	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	6000
		barb_military_buff_grounds_2	barb_military_buff_grounds_4		cai_category_military_land_infantry_spearmen	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	7500
		barb_military_buff_grounds_2	barb_military_buff_grounds_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		barb_military_buff_tavern_2	barb_military_buff_tavern_4		cai_category_military_land_infantry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	6000	1200
		barb_military_buff_tavern_2	barb_military_buff_tavern_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
		barb_military_buff_tavern_2	barb_military_buff_tavern_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	325	65
		barb_port_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		barb_port_fishing_2	barb_port_fishing_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_port_fishing_2	barb_port_fishing_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_port_military_2	barb_port_military_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1250	250
		barb_port_military_2	barb_port_military_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		barb_religious_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_briton_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_briton_andraste_2	barb_religious_briton_andraste_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		barb_religious_briton_andraste_2	barb_religious_briton_andraste_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_briton_andraste_5				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	375
		barb_religious_briton_andraste_5				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	500
		barb_religious_briton_andraste_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	800
		barb_religious_briton_epona_2	barb_religious_briton_epona_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	9000	1800
		barb_religious_briton_nodens_2	barb_religious_briton_nodens_4		cai_category_military_land_infantry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	3000	600
		barb_religious_briton_nodens_2	barb_religious_briton_nodens_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_briton_rosmerta_2	barb_religious_briton_rosmerta_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		barb_religious_briton_toutatis_2	barb_religious_briton_toutatis_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	675	120
		barb_religious_briton_toutatis_2	barb_religious_briton_toutatis_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_cernunnos_2	barb_religious_cernunnos_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	90
		barb_religious_cernunnos_2	barb_religious_cernunnos_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		barb_religious_cernunnos_2	barb_religious_cernunnos_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_dacian_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_dacian_derzerlas_2	barb_religious_dacian_derzerlas_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_dacian_gebelizis_2	barb_religious_dacian_gebelizis_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_dacian_kotys_2	barb_religious_dacian_kotys_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_dacian_pleistoros_2	barb_religious_dacian_pleistoros_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_dacian_zalmoxis_2	barb_religious_dacian_zalmoxis_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_epona_2	barb_religious_epona_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	9000	1800
		barb_religious_gaul_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_gaul_cernunnos_2	barb_religious_gaul_cernunnos_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	90
		barb_religious_gaul_cernunnos_2	barb_religious_gaul_cernunnos_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		barb_religious_gaul_cernunnos_2	barb_religious_gaul_cernunnos_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_gaul_epona_2	barb_religious_gaul_epona_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	9000	1800
		barb_religious_gaul_gobannus_2	barb_religious_gaul_gobannus_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1125	225
		barb_religious_gaul_rosmerta_2	barb_religious_gaul_rosmerta_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		barb_religious_gaul_toutatis_2	barb_religious_gaul_toutatis_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	675	120
		barb_religious_gaul_toutatis_2	barb_religious_gaul_toutatis_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_gaul_toutatis_5				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	375
		barb_religious_gaul_toutatis_5				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	500
		barb_religious_gaul_toutatis_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	800
		barb_religious_german_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_german_austro_2	barb_religious_german_austro_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	150	30
		barb_religious_german_austro_2	barb_religious_german_austro_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	75	15
		barb_religious_german_frijjo_2	barb_religious_german_frijjo_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	50
		barb_religious_german_frijjo_2	barb_religious_german_frijjo_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	850	170
		barb_religious_german_teiwaz_2	barb_religious_german_teiwaz_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1500	300
		barb_religious_german_teiwaz_5				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	375
		barb_religious_german_teiwaz_5				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	500
		barb_religious_german_teiwaz_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	800
		barb_religious_german_thunaraz_2	barb_religious_german_thunaraz_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	225	45
		barb_religious_german_thunaraz_2	barb_religious_german_thunaraz_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	250	50
		barb_religious_german_wodanaz_2	barb_religious_german_wodanaz_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	500	100
		barb_religious_german_wodanaz_2	barb_religious_german_wodanaz_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_iberian_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_iberian_5				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	600
		barb_religious_iberian_5				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	500
		barb_religious_iberian_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	800
		barb_religious_iberian_ataegina_2	barb_religious_iberian_ataegina_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	450	90
		barb_religious_iberian_ataegina_2	barb_religious_iberian_ataegina_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	400	80
		barb_religious_iberian_bandua_2	barb_religious_iberian_bandua_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	700	140
		barb_religious_iberian_endovelicus_2	barb_religious_iberian_endovelicus_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_iberian_epona_2	barb_religious_iberian_epona_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	9000	1800
		barb_religious_iberian_nabia_2	barb_religious_iberian_nabia_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	700	140
		barb_religious_illyrian_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_illyrian_anzotica_2	barb_religious_illyrian_anzotica_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_illyrian_armatus_2	barb_religious_illyrian_armatus_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_illyrian_bindus_2	barb_religious_illyrian_bindus_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_illyrian_medaurus_2	barb_religious_illyrian_medaurus_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_illyrian_vidasus_2	barb_religious_illyrian_vidasus_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_nomad_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_nomad_agrimpasa_2	barb_religious_nomad_agrimpasa_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_nomad_agrimpasa_2	barb_religious_nomad_agrimpasa_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_nomad_api_2	barb_religious_nomad_api_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	110
		barb_religious_nomad_api_2	barb_religious_nomad_api_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_nomad_api_5				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	1000
		barb_religious_nomad_api_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	800
		barb_religious_nomad_goitosyros_2	barb_religious_nomad_goitosyros_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_nomad_goitosyros_2	barb_religious_nomad_goitosyros_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_nomad_papaios_2	barb_religious_nomad_papaios_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_nomad_papaios_2	barb_religious_nomad_papaios_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_nomad_tabiti_2	barb_religious_nomad_tabiti_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_religious_nomad_tabiti_2	barb_religious_nomad_tabiti_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_religious_rosmerta_2	barb_religious_rosmerta_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1000	200
		barb_religious_thrace_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	90
		barb_religious_thrace_bendis_2	barb_religious_thrace_bendis_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_thrace_cabeiri_2	barb_religious_thrace_cabeiri_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_thrace_cabeiri_5				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	650
		barb_religious_thrace_kotys_2	barb_religious_thrace_kotys_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_thrace_sabazios_2	barb_religious_thrace_sabazios_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_thrace_zibelthiurdos_2	barb_religious_thrace_zibelthiurdos_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	200	40
		barb_religious_toutatis_2	barb_religious_toutatis_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	675	120
		barb_religious_toutatis_2	barb_religious_toutatis_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		barb_town_1	barb_town_3								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	15
		barb_town_farm_4				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3500
		barb_town_tribal_4				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	3500
		barb_water_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		barb_water_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	130
		barb_water_canal_2	barb_water_canal_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		barb_water_canal_2	barb_water_canal_3			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	350	70
		barb_water_spring_2	barb_water_spring_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	350	70
		barb_water_spring_2	barb_water_spring_3			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_afr_city_centre_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		dk_afr_city_centre_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		dk_afr_city_centre_arena_2	dk_afr_city_centre_arena_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_afr_city_centre_arena_2	dk_afr_city_centre_arena_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_afr_city_centre_grain_2	dk_afr_city_centre_grain_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	350	70
		dk_afr_city_centre_grain_2	dk_afr_city_centre_grain_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	600	120
		dk_afr_city_centre_library_2	dk_afr_city_centre_library_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_afr_city_centre_library_2	dk_afr_city_centre_library_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_afr_city_centre_palace_2	dk_afr_city_centre_palace_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_afr_city_centre_palace_2	dk_afr_city_centre_palace_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_afr_city_centre_slave_2	dk_afr_city_centre_slave_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	850	170
		dk_afr_city_centre_wine_2	dk_afr_city_centre_wine_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	850	170
		dk_all_city_1	dk_all_city_4								-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1300	15
		dk_all_military_infantry_1	dk_all_military_infantry_4		cai_category_military_land_infantry_spearmen	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	2100	440	1900	360	1900	360	2250	450
		dk_all_sanitation_1				cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	100
		dk_all_sanitation_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	100
		dk_all_sanitation_canal_2	dk_all_sanitation_canal_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
		dk_all_sanitation_canal_2	dk_all_sanitation_canal_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
		dk_all_sanitation_tank_2	dk_all_sanitation_tank_4			cai_food_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
		dk_all_sanitation_tank_2	dk_all_sanitation_tank_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	875	175
		dk_all_stables_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	320	300	220	220	220	220	0	320
		dk_all_stables_2	dk_all_stables_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	24000	2400	21000	2100	21000	2100	25000	2500
		dk_all_stables_2	dk_all_stables_4		cai_category_military_land_cavalry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	19000	2100	17500	1800	17500	1800	20000	2200
		dk_all_stables_2	dk_all_stables_4		cai_category_military_land_cavalry_shock	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	29000	3100	26000	2700	26000	2700	30000	3300
		dk_all_stables_camel_2	dk_all_stables_camel_4		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	24000	2400	21000	2100	21000	2100	25000	2400
		dk_all_stables_camel_2	dk_all_stables_camel_4		cai_category_military_land_cavalry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	19000	2100	17500	1800	17500	1800	20000	2000
		dk_all_stables_camel_2	dk_all_stables_camel_4		cai_category_military_land_cavalry_shock	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	29000	3100	26000	2700	26000	2700	30000	3000
		dk_all_stables_exotic_2	dk_all_stables_exotic_3		cai_category_military_land_camel	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	6500	2100	5800	1800	5800	1800	6600	2200
		dk_all_stables_exotic_2	dk_all_stables_exotic_3		cai_category_military_land_elephant	cai_military_land_group					-1	-1	0	0	0	0	0	0	1	1	11500	3800	10000	3600	10000	3600	12000	4000
		dk_all_training_1				cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	40
		dk_all_training_horse_2	dk_all_training_horse_3		cai_category_military_land_cavalry_melee	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1800	600
		dk_all_training_horse_2	dk_all_training_horse_3		cai_category_military_land_cavalry_shock	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1800	600
		dk_all_training_range_2	dk_all_training_range_3		cai_category_military_land_cavalry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1800	600
		dk_all_training_range_2	dk_all_training_range_3		cai_category_military_land_infantry_missile	cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	1800	600
		dk_ara_city_centre_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		dk_ara_city_centre_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		dk_ara_city_centre_arena_2	dk_ara_city_centre_arena_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_ara_city_centre_arena_2	dk_ara_city_centre_arena_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_ara_city_centre_funduq_2	dk_ara_city_centre_funduq_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_ara_city_centre_funduq_2	dk_ara_city_centre_funduq_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_ara_city_centre_library_2	dk_ara_city_centre_library_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_ara_city_centre_library_2	dk_ara_city_centre_library_4			cai_military_land_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_ara_city_centre_palace_2	dk_ara_city_centre_palace_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	750	150
		dk_ara_city_centre_palace_2	dk_ara_city_centre_palace_4			cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	650	130
		dk_ara_city_centre_slave_2	dk_ara_city_centre_slave_3			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	850	170
		dk_ara_city_centre_spice_2	dk_ara_city_centre_spice_4			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		dk_ara_town_centre_1				cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	75
		dk_ara_town_centre_1				cai_public_order_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	0	70
		dk_ara_town_centre_caravanserai_2	dk_ara_town_centre_caravanserai_5			cai_economic_group					-1	-1	0	0	0	0	0	0	-1	-1	0	0	0	0	0	0	550	110
