effect	icon	priority	icon_negative
inv_building_docks_units_allowed_tier_2		101	
inv_building_docks_units_allowed_tier_3		101	
inv_building_docks_units_allowed_tier_4		101	
inv_building_economy_food_from_docks	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_economy_food_from_farms	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_economy_food_from_farms_this_region	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_economy_food_from_pera	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_economy_food_from_ports	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/agent_positive.png
inv_building_economy_food_from_tmia	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_food_mod	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_building_mod_upkeep_cost	data/ui/campaign ui/effect_bundles/army_negative.png	101	data/ui/campaign ui/effect_bundles/army_positive.png
inv_building_public_order_from_pera	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
inv_building_recruitment_cost_mod_spearmen	data/ui/campaign ui/effect_bundles/wealth_negative.png	101	data/ui/campaign ui/effect_bundles/wealth_positive.png
inv_building_resource_amber_production	data/ui/campaign ui/effect_bundles/resource_positive.png	101	data/ui/campaign ui/effect_bundles/resource_negative.png
inv_building_resource_lead_production	data/ui/campaign ui/effect_bundles/resource_positive.png	101	data/ui/campaign ui/effect_bundles/resource_negative.png
inv_building_resource_leather_production	data/ui/campaign ui/effect_bundles/resource_positive.png	101	data/ui/campaign ui/effect_bundles/resource_negative.png
inv_building_resource_wine_production	data/ui/campaign ui/effect_bundles/resource_positive.png	101	data/ui/campaign ui/effect_bundles/resource_negative.png
inv_building_tular_recruitment_slot_1	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_negative.png
inv_building_tular_recruitment_slot_2	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_negative.png
inv_building_tular_units_allowed_tier_2		101	
inv_building_tular_units_allowed_tier_3		101	
inv_building_tular_units_allowed_tier_4		101	
inv_dismantle_cost_ai	data/ui/campaign ui/effect_bundles/wealth_negative.png	100	data/ui/campaign ui/effect_bundles/wealth_positive.png
inv_etr_main_agriculture_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_main_building_reduction_for_AI	data/ui/campaign ui/effect_bundles/3c_banditry_negative.png	0	data/ui/campaign ui/effect_bundles/3c_banditry_positive.png
inv_etr_main_city_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_main_industry_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_main_military_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_main_religion_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_minor_all_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_etr_minor_military_tooltip	data/ui/campaign ui/effect_bundles/construction_positive.png	1	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_event_army_movement_range	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	26	data/ui/campaign ui/effect_bundles/campaign_movement_negative.png
inv_event_culture_conversion_celtic	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
inv_event_culture_conversion_hellenic	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
inv_event_culture_conversion_punic	data/ui/campaign ui/effect_bundles/religion_negative.png	101	data/ui/campaign ui/effect_bundles/religion_positive.png
inv_event_navy_movement_range	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	26	data/ui/campaign ui/effect_bundles/campaign_movement_negative.png
inv_faction_group_gallic_fearsome_gauls	data/ui/campaign ui/effect_bundles/loot_raid_positive.png	101	data/ui/campaign ui/effect_bundles/loot_raid_positive.png
inv_faction_group_greek_greek_patriotism	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
inv_faction_group_greek_naval_prowess	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_positive.png
inv_faction_group_italian_civilisations_destined_for_greatness	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_positive.png
inv_faction_group_italian_civilisations_written_knowledge	data/ui/campaign ui/effect_bundles/technology_positive.png	101	data/ui/campaign ui/effect_bundles/technology_positive.png
inv_faction_group_italic_italic_independence	data/ui/campaign ui/effect_bundles/morale_positive.png	102	data/ui/campaign ui/effect_bundles/morale_positive.png
inv_faction_group_italic_native_strength	data/ui/campaign ui/effect_bundles/growth_positive.png	106	data/ui/campaign ui/effect_bundles/growth_negative.png
inv_faction_group_nuragic_defenders_of_the_homeland	data/ui/campaign ui/effect_bundles/army_positive.png	270	data/ui/campaign ui/effect_bundles/army_negative.png
inv_faction_group_nuragic_seasoned_scouts	data/ui/campaign ui/effect_bundles/subterfuge_positive.png	105	data/ui/campaign ui/effect_bundles/subterfuge_positive.png
inv_faction_insubres_diplomacy	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	104	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
inv_faction_insubres_druids	data/ui/campaign ui/effect_bundles/barbarian_positive.png	14	data/ui/campaign ui/effect_bundles/barbarian_positive.png
inv_faction_iolei_sardinian_tournament	data/ui/campaign ui/effect_bundles/faction_leader_positive.png	104	data/ui/campaign ui/effect_bundles/faction_leader_positive.png
inv_faction_order_from_army_presence	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_positive.png
inv_faction_rome_capitolline_hill	data/ui/campaign ui/effect_bundles/seige_defence.png	103	data/ui/campaign ui/effect_bundles/seige_attack.png
inv_faction_rome_elections	data/ui/campaign ui/effect_bundles/faction_leader_positive.png	104	data/ui/campaign ui/effect_bundles/faction_leader_positive.png
inv_faction_samnites_adaptable_warriors	data/ui/campaign ui/effect_bundles/army_positive.png	101	data/ui/campaign ui/effect_bundles/army_negative.png
inv_faction_samnites_swordsmen	data/ui/campaign ui/effect_bundles/melee_positive.png	103	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_faction_samnites_ver_sacrum	data/ui/campaign ui/effect_bundles/army_positive.png	103	data/ui/campaign ui/effect_bundles/army_positive.png
inv_faction_senones_druids	data/ui/campaign ui/effect_bundles/barbarian_positive.png	104	data/ui/campaign ui/effect_bundles/barbarian_positive.png
inv_faction_senones_invader_instincts	data/ui/campaign ui/effect_bundles/loot_raid_negative.png	103	data/ui/campaign ui/effect_bundles/loot_raid_negative.png
inv_faction_syracuse_colony_expedition	data/ui/campaign ui/effect_bundles/naval_support_positive.png	104	data/ui/campaign ui/effect_bundles/naval_support_positive.png
inv_faction_syracuse_mercenaries	data/ui/campaign ui/effect_bundles/infantry_positive.png	103	data/ui/campaign ui/effect_bundles/infantry_positive.png
inv_faction_taras_philosophical_research	data/ui/campaign ui/effect_bundles/technology_positive.png	104	data/ui/campaign ui/effect_bundles/technology_positive.png
inv_faction_taras_write_treatise	data/ui/campaign ui/effect_bundles/dignitary_positive.png	103	data/ui/campaign ui/effect_bundles/dignitary_positive.png
inv_faction_tarchuna_capital_loss	data/ui/campaign ui/effect_bundles/settlement_negative.png	103	inv_faction_tarchuna_capital_loss
inv_faction_tarchuna_fanum_voltumnae	data/ui/campaign ui/effect_bundles/government_positive.png	104	inv_faction_tarchuna_fanum_voltumnae
inv_faction_trait_less_penalty_for_public_order_from_celts	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
inv_faction_trait_less_penalty_for_public_order_from_etruscans	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
inv_faction_trait_less_penalty_for_public_order_from_greeks	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
inv_faction_trait_less_penalty_for_public_order_in_foreign_lands	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_positive.png
inv_faction_trait_public_order_from_war	data/ui/campaign ui/effect_bundles/public_order_positive.png	101	data/ui/campaign ui/effect_bundles/public_order_positive.png
inv_faction_veneti_horse	data/ui/campaign ui/effect_bundles/cavalry_positive.png	104	data/ui/campaign ui/effect_bundles/cavalry_positive.png
inv_faction_veneti_royal_herd	data/ui/campaign ui/effect_bundles/government_positive.png	103	data/ui/campaign ui/effect_bundles/government_positive.png
inv_fake_effect_family_members_incidents	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
inv_festival_incident_greek_great_dionysia_dummy	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_festival_incident_greek_rural_dionysia_dummy	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_festival_incident_rome_cerealia_dummy	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_festival_incident_rome_vinalia_rustica_dummy	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_army_unit_mod_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	0	
inv_force_artillery_unlocked_dummy	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_artillery_unlocked_dummy_Samnites	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_artillery_unlocked_dummy_Syracuse	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_artillery_unlocked_dummy_Taranto	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_artillery_unlocked_dummy_Tarchuna	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_artillery_upkeep_mod	data/ui/campaign ui/effect_bundles/military_spending_negative.png	101	data/ui/campaign ui/effect_bundles/military_spending_positive.png
inv_force_campaign_mod_movement_range_all_land	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	100	data/ui/campaign ui/effect_bundles/campaign_movement_negative.png
inv_force_iolei_territory_attrition	data/ui/campaign ui/effect_bundles/replenishment_positive.png	103	data/ui/campaign ui/effect_bundles/replenishment_negative.png
inv_force_mod_melee_attack_marines_on_land	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_mod_morale_marines_on_land	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_navy_unit_mod_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_number_ladders	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_number_siege_engines	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_number_siege_gallery	data/ui/campaign ui/effect_bundles/artillery_positive.png	101	data/ui/campaign ui/effect_bundles/artillery_negative.png
inv_force_unit_mod_ammunition_artillery	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
inv_force_unit_mod_armour_all_mercenaries	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
inv_force_unit_mod_armour_heavy_spearmen	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
inv_force_unit_mod_bows_missle_range_versus_etruscans	data/ui/campaign ui/effect_bundles/accuracy_positive.png	101	data/ui/campaign ui/effect_bundles/accuracy_negative.png
inv_force_unit_mod_cavalry_melee_defence	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_charge_bonus_besieging	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_force_unit_mod_charge_bonus_own_territory	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_force_unit_mod_charge_bonus_versus_carthaginians	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_force_unit_mod_charge_bonus_versus_etruscans	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_force_unit_mod_charge_bonus_versus_romans	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_force_unit_mod_damage_all_cavalry	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_damage_infantry	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_experience_mercenaries	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
inv_force_unit_mod_firing_rate_versus_gauls	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
inv_force_unit_mod_melee_attack	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_all_mercenaries	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_greek_mercenaries	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_celts	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_etruscans	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_gauls	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_greeks	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_italians	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_italics	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_nuragic	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_attack_versus_romans	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_melee_defence_heavy_spearmen	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_infantry	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_celts	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_etruscans	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_gauls	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_greeks	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_italians	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_italics	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_nuragic	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_melee_defence_versus_romans	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_unit_mod_missile_rate_versus_greeks	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
inv_force_unit_mod_morale_all_archers	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_all_gauls	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_greek_mercenaries	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_celts	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_etruscans	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_gauls	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_greeks	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_illyrian_pirates	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_italians	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_italics	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_nuragic	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_versus_romans	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_morale_when_besieging	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_unit_mod_movement_speed_when_besieging	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
inv_force_unit_mod_ship_crew_melee_defence	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_mod_swords_weapon_damage	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_unit_swords_mod_armour	data/ui/campaign ui/effect_bundles/military_positive.png	101	data/ui/campaign ui/effect_bundles/military_negative.png
inv_force_unit_swords_mod_melee_defence	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_ver_sacrum_attack_melee	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_force_ver_sacrum_defence_melee	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_force_ver_sacrum_morale	data/ui/campaign ui/effect_bundles/morale_positive.png	101	data/ui/campaign ui/effect_bundles/morale_negative.png
inv_force_ver_sacrum_upkeep	data/ui/campaign ui/effect_bundles/military_spending_negative.png	101	data/ui/campaign ui/effect_bundles/military_spending_positive.png
inv_general_bodyguard_mod_damage	data/ui/campaign ui/effect_bundles/melee_positive.png	101	data/ui/campaign ui/effect_bundles/melee_negative.png
inv_party_loyalty_from_technology	data/ui/campaign ui/effect_bundles/loyalty_positive.png	101	data/ui/campaign ui/effect_bundles/loyalty_negative.png
inv_placeholder	x	101	x
inv_placeholder_2	x	101	x
inv_placeholder_3	x	101	x
inv_rom_agent_parent_general_experience	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
inv_samnites_unit_mod_bows_missile_damage	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_negative.png
inv_samnites_unit_mod_bows_missile_range	data/ui/campaign ui/effect_bundles/accuracy_positive.png	101	data/ui/campaign ui/effect_bundles/accuracy_negative.png
inv_samnites_unit_mod_charge_bonus	data/ui/campaign ui/effect_bundles/charge_positive.png	101	data/ui/campaign ui/effect_bundles/charge_negative.png
inv_samnites_unit_mod_melee_defence	data/ui/campaign ui/effect_bundles/defence_positive.png	101	data/ui/campaign ui/effect_bundles/defence_negative.png
inv_samnites_unit_mod_movement_speed	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
inv_tech_agriculture_food_from_farms	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_tech_agriculture_food_from_farms_only	data/ui/campaign ui/effect_bundles/food_positive.png	101	data/ui/campaign ui/effect_bundles/food_negative.png
inv_tech_civil_build_time_mod_all	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_tech_civil_build_time_mod_all_insubres	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_tech_civil_build_time_mod_all_senones	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_tech_civil_culture_diplomacy_etruscan	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
inv_tech_civil_culture_diplomacy_italians_and_gauls	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
inv_tech_civil_culture_diplomacy_latins_Rome	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_positive.png
inv_tech_civil_experience_rate_agents	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
inv_tech_civil_minor_settlements_main_chain_build_time_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_tech_civil_temple_build_time_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
inv_tech_civil_trade_mod_roman	data/ui/campaign ui/effect_bundles/trade_positive.png	101	data/ui/campaign ui/effect_bundles/trade_negative.png
inv_tech_civil_trade_tariff_mod_barbarians	data/ui/campaign ui/effect_bundles/trade_positive.png	101	data/ui/campaign ui/effect_bundles/trade_negative.png
inv_tech_experience_rate_mercenaries	data/ui/campaign ui/effect_bundles/experience_positive.png	101	data/ui/campaign ui/effect_bundles/experience_negative.png
inv_tech_military_fatigue_resistance_infantry_units	data/ui/campaign ui/effect_bundles/battle_movement_positive.png	101	data/ui/campaign ui/effect_bundles/battle_movement_negative.png
inv_tech_military_income_mod_booty_after_battle	data/ui/campaign ui/effect_bundles/wealth_positive.png	101	data/ui/campaign ui/effect_bundles/wealth_negative.png
inv_tech_military_income_spoils_of_war	data/ui/campaign ui/effect_bundles/wealth_positive.png	101	data/ui/campaign ui/effect_bundles/wealth_negative.png
inv_tech_military_upkeep_mod_all_missile_units	data/ui/campaign ui/effect_bundles/military_spending_negative.png	101	data/ui/campaign ui/effect_bundles/military_spending_positive.png
inv_tech_military_upkeep_mod_greek_mercenaries	data/ui/campaign ui/effect_bundles/military_spending_negative.png	101	data/ui/campaign ui/effect_bundles/military_spending_positive.png
inv_tech_unit_mode_light_infantry_missile_rate	data/ui/campaign ui/effect_bundles/archer_positive.png	101	data/ui/campaign ui/effect_bundles/archer_positive.png
loyalty_building_cost_mod	data/ui/campaign ui/effect_bundles/construction_negative.png	101	data/ui/campaign ui/effect_bundles/construction_positive.png
loyalty_upkeep_cost_mod	data/ui/campaign ui/effect_bundles/military_spending_negative.png	101	data/ui/campaign ui/effect_bundles/military_spending_positive.png
pel_army_movement_range	data/ui/campaign ui/effect_bundles/campaign_movement_positive.png	23	data/ui/campaign ui/effect_bundles/campaign_movement_negative.png
pel_building_cost_mod_buildings_theatres	data/ui/campaign ui/effect_bundles/construction_negative.png	0	data/ui/campaign ui/effect_bundles/construction_positive.png
pel_diplomacy_south_greece	data/ui/campaign ui/effect_bundles/diplomacy_negative.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
pel_diplomatic_all	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
pel_diplomatic_greek	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
pel_diplomatic_imperium_greek	data/ui/campaign ui/effect_bundles/diplomacy_negative.png	101	
pel_diplomatic_imperium_persia	data/ui/campaign ui/effect_bundles/diplomacy_negative.png	101	
pel_diplomatic_persian	data/ui/campaign ui/effect_bundles/diplomacy_positive.png	101	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
pel_faction_athenai_centre_culture	data/ui/campaign ui/effect_bundles/wealth_positive.png	1	data/ui/campaign ui/effect_bundles/wealth_positive.png
pel_faction_athenai_dreams_empire	data/ui/campaign ui/effect_bundles/public_order_negative.png	101	data/ui/campaign ui/effect_bundles/public_order_negative.png
pel_faction_athenai_wooden_wall	data/ui/campaign ui/effect_bundles/navy_positive.png	1	data/ui/campaign ui/effect_bundles/navy_positive.png
pel_faction_boiotia_confederacy	data/ui/campaign ui/effect_bundles/tax_growth_negative.png	1	data/ui/campaign ui/effect_bundles/tax_growth_negative.png
pel_faction_boiotia_rising_military	data/ui/campaign ui/effect_bundles/military_positive.png	1	data/ui/campaign ui/effect_bundles/military_positive.png
pel_faction_boiotia_rival_athens	data/ui/campaign ui/effect_bundles/diplomacy_negative.png	1	data/ui/campaign ui/effect_bundles/diplomacy_negative.png
pel_faction_korinthos_love_aphrodite	data/ui/campaign ui/effect_bundles/growth_positive.png	1	data/ui/campaign ui/effect_bundles/growth_positive.png
