ancillary	agent
r2_sp_anc_punic_merchant_libyan_garlic	general
r2_sp_anc_punic_merchant_libyan_glass	dignitary
r2_sp_anc_punic_merchant_libyan_glass	general
r2_sp_anc_punic_merchant_sardinian	dignitary
r2_sp_anc_punic_merchant_sardinian	general
r2_sp_anc_punic_merchant_sicilian	dignitary
r2_sp_anc_punic_merchant_sicilian	general
r2_sp_anc_punic_metallurgist	general
r2_sp_anc_punic_numidian_chef	general
r2_sp_anc_punic_propagandist	general
r2_sp_anc_punic_religion_acolyte	general
r2_sp_anc_punic_religion_astarte	general
r2_sp_anc_punic_religion_baal_hammon	general
r2_sp_anc_punic_religion_baal_lucan	general
r2_sp_anc_punic_religion_eshmoun	general
r2_sp_anc_punic_religion_gareth	general
r2_sp_anc_punic_religion_milqart	general
r2_sp_anc_punic_religion_tanit	general
r2_sp_anc_roman_army_armour_1	general
r2_sp_anc_roman_army_armour_2	general
r2_sp_anc_roman_army_armour_3	general
r2_sp_anc_roman_army_artilleryman	general
r2_sp_anc_roman_army_barley_ration	general
r2_sp_anc_roman_army_cadet	general
r2_sp_anc_roman_army_camp_prefect	general
r2_sp_anc_roman_army_cape	general
r2_sp_anc_roman_army_carrier_pigeon	general
r2_sp_anc_roman_army_centurion_primus	general
r2_sp_anc_roman_army_common_prozzy	general
r2_sp_anc_roman_army_dagger	champion
r2_sp_anc_roman_army_dagger	dignitary
r2_sp_anc_roman_army_dagger	spy
r2_sp_anc_roman_army_hero_auxiliary	general
r2_sp_anc_roman_army_hero_hastatus	general
r2_sp_anc_roman_army_hero_principes	general
r2_sp_anc_roman_army_hero_triarius	general
r2_sp_anc_roman_army_hero_velite	general
r2_sp_anc_roman_army_javelin_legionary_early	general
r2_sp_anc_roman_army_javelin_velite	general
r2_sp_anc_roman_army_legionary_guard_captain	general
r2_sp_anc_roman_army_legionary_senior	general
r2_sp_anc_roman_army_legionary_skilled	general
r2_sp_anc_roman_army_lucius_vorinus	general
r2_sp_anc_roman_army_optio	general
r2_sp_anc_roman_army_praetorian	general
r2_sp_anc_roman_army_scout	general
r2_sp_anc_roman_army_shield_1	general
r2_sp_anc_roman_army_shield_2	general
r2_sp_anc_roman_army_sling_and_shot	general
r2_sp_anc_roman_army_slinger	general
r2_sp_anc_roman_army_spear_1	general
r2_sp_anc_roman_army_standard_bearer	general
r2_sp_anc_roman_army_standard_eagle	general
r2_sp_anc_roman_army_sword_1	general
r2_sp_anc_roman_army_titus_pullo	general
r2_sp_anc_roman_army_tribune	general
r2_sp_anc_roman_army_trumpeter_veteran	general
r2_sp_anc_roman_army_veteran_centurion	general
r2_sp_anc_roman_army_watch_goose	general
r2_sp_anc_roman_arts_actor	general
r2_sp_anc_roman_arts_comedian	general
r2_sp_anc_roman_arts_poet_ode	general
r2_sp_anc_roman_civil_publican	general
r2_sp_anc_roman_client_equestrian_1	general
r2_sp_anc_roman_client_equestrian_2	general
r2_sp_anc_roman_client_freeman	general
r2_sp_anc_roman_client_lanista	general
r2_sp_anc_roman_client_magistrate	general
r2_sp_anc_roman_client_mobster	general
r2_sp_anc_roman_client_plebian_1	general
r2_sp_anc_roman_client_plebian_2	general
r2_sp_anc_roman_client_senator	general
r2_sp_anc_roman_crocodile_wrestler	champion
r2_sp_anc_roman_crocodile_wrestler	dignitary
r2_sp_anc_roman_crocodile_wrestler	spy
r2_sp_anc_roman_eyeliner	general
r2_sp_anc_roman_games_animal	general
r2_sp_anc_roman_games_boxer	general
r2_sp_anc_roman_games_charioteer_blue	general
r2_sp_anc_roman_games_charioteer_green	general
r2_sp_anc_roman_games_charioteer_red	general
r2_sp_anc_roman_games_charioteer_white	general
r2_sp_anc_roman_games_doctore	general
r2_sp_anc_roman_games_editor	general
r2_sp_anc_roman_games_lanista	general
r2_sp_anc_roman_games_murmillo	general
r2_sp_anc_roman_games_primus_palus	general
r2_sp_anc_roman_games_provocator	general
r2_sp_anc_roman_games_rudiarius	general
r2_sp_anc_roman_games_sagittarius	general
r2_sp_anc_roman_games_secutor	general
r2_sp_anc_roman_games_thracian	general
r2_sp_anc_roman_govt_dealer_animal	general
r2_sp_anc_roman_govt_executioner_1	general
r2_sp_anc_roman_govt_executioner_2	general
r2_sp_anc_roman_govt_executioner_3	general
r2_sp_anc_roman_govt_heckler	general
r2_sp_anc_roman_govt_judge_carnifex	general
r2_sp_anc_roman_govt_judge_lictor	general
r2_sp_anc_roman_govt_lawyer	general
r2_sp_anc_roman_govt_orator	general
r2_sp_anc_roman_govt_senator_old	general
r2_sp_anc_roman_govt_senator	general
r2_sp_anc_roman_govt_tribune_pleb	general
r2_sp_anc_roman_govt_vestal	general
r2_sp_anc_roman_house_briton	general
r2_sp_anc_roman_house_dog_guard	champion
r2_sp_anc_roman_house_dog_guard	dignitary
r2_sp_anc_roman_house_dog_guard	spy
r2_sp_anc_roman_house_dog_harsh	general
r2_sp_anc_roman_house_glutton	general
r2_sp_anc_roman_insane_cultist	general
r2_sp_anc_roman_insult_monger	general
r2_sp_anc_roman_item_barbarian_breeches	general
r2_sp_anc_roman_item_barbarian_cloak_hooded	general
r2_sp_anc_roman_item_barbarian_cloak	general
r2_sp_anc_roman_item_centurion_rod	general
r2_sp_anc_roman_item_dice	general
r2_sp_anc_roman_item_family_shrine	general
r2_sp_anc_roman_item_god_bacchus	general
r2_sp_anc_roman_item_god_bellona	general
r2_sp_anc_roman_item_god_ceres	general
r2_sp_anc_roman_item_god_jupiter	general
r2_sp_anc_roman_item_god_mars	general
r2_sp_anc_roman_item_god_mithras	general
r2_sp_anc_roman_item_god_neptune	general
r2_sp_anc_roman_item_god_vulcan	general
r2_sp_anc_roman_item_judge_fasces	general
r2_sp_anc_roman_item_lead_curse	spy
r2_sp_anc_roman_item_magic_nail	champion
r2_sp_anc_roman_item_medical_kit	general
r2_sp_anc_roman_item_mess_tin	general
r2_sp_anc_roman_item_pelt_wolf	general
r2_sp_anc_roman_item_scourge	general
r2_sp_anc_roman_item_spade	general
r2_sp_anc_roman_item_sword_mars	general
r2_sp_anc_roman_item_sword_practice	general
r2_sp_anc_roman_justice_procurator	general
r2_sp_anc_roman_lizard_cultist	general
r2_sp_anc_roman_magic_ghost_bad	general
r2_sp_anc_roman_magic_ghost_good	general
r2_sp_anc_roman_magic_ghost_neutral	general
r2_sp_anc_roman_magic_haruspex	general
r2_sp_anc_roman_medic_medicus_1	general
r2_sp_anc_roman_medic_medicus_2	general
r2_sp_anc_roman_military_diploma	general
r2_sp_anc_roman_navy_marine	general
r2_sp_anc_roman_pet_lion	general
r2_sp_anc_roman_pet_tortoise	general
r2_sp_anc_roman_philosopher_teacher	general
r2_sp_anc_roman_religion_bacchus	general
r2_sp_anc_roman_religion_bellona	general
r2_sp_anc_roman_religion_ceres_rome	general
r2_sp_anc_roman_religion_cybele	general
r2_sp_anc_roman_religion_epona_late	general
r2_sp_anc_roman_religion_hercules	champion
r2_sp_anc_roman_religion_juno	general
r2_sp_anc_roman_religion_jupiter_1	general
r2_sp_anc_roman_religion_jupiter_2	general
r2_sp_anc_roman_religion_mars	general
r2_sp_anc_roman_religion_mercury	general
r2_sp_anc_roman_religion_neptune	general
r2_sp_anc_roman_religion_pontifex	general
r2_sp_anc_roman_religion_saturn	general
r2_sp_anc_roman_religion_victoria	general
r2_sp_anc_roman_religion_vulcan	general
r2_sp_anc_roman_slave_debtor	general
r2_sp_anc_roman_snitch	general
r2_sp_anc_roman_trade_plebian	general
r2_sp_anc_roman_trade_posh	general
r2_sp_anc_roman_winemaker_culturespread_gdpentertainment	champion
r2_sp_anc_roman_winemaker_culturespread_gdpentertainment	dignitary
r2_sp_anc_roman_winemaker_culturespread_gdpentertainment	general
r2_sp_anc_roman_winemaker_culturespread_gdpentertainment	spy
r2_sp_anc_roman_winemaker_growth_gdpentertainment	champion
r2_sp_anc_roman_winemaker_growth_gdpentertainment	dignitary
r2_sp_anc_roman_winemaker_growth_gdpentertainment	general
r2_sp_anc_roman_winemaker_growth_gdpentertainment	spy
r2_sp_anc_roman_winemaker_slaveunrest_culturespread	champion
r2_sp_anc_roman_winemaker_slaveunrest_culturespread	dignitary
r2_sp_anc_roman_winemaker_slaveunrest_culturespread	general
r2_sp_anc_roman_winemaker_slaveunrest_culturespread	spy
r2_sp_anc_roman_winemaker_slaveunrest_growth	champion
r2_sp_anc_roman_winemaker_slaveunrest_growth	dignitary
r2_sp_anc_roman_winemaker_slaveunrest_growth	general
r2_sp_anc_roman_winemaker_slaveunrest_growth	spy
r2_sp_anc_scythian_army_dagger	champion
r2_sp_anc_scythian_army_dagger	dignitary
r2_sp_anc_scythian_army_dagger	general
r2_sp_anc_scythian_army_dagger	spy
r2_sp_anc_scythian_army_lance	general
r2_sp_anc_scythian_blacksmith	general
r2_sp_anc_scythian_coin_mint	dignitary
r2_sp_anc_scythian_coin_mint	general
r2_sp_anc_scythian_eunuch	general
r2_sp_anc_scythian_item_drinking_horn	general
r2_sp_anc_scythian_item_gold_amulet	champion
r2_sp_anc_scythian_item_gold_amulet	dignitary
r2_sp_anc_scythian_item_gold_amulet	general
r2_sp_anc_scythian_item_gold_amulet	spy
r2_sp_anc_scythian_item_gold_brooch	champion
r2_sp_anc_scythian_item_gold_brooch	dignitary
r2_sp_anc_scythian_item_gold_brooch	general
r2_sp_anc_scythian_item_gold_brooch	spy
r2_sp_anc_scythian_item_gold_buckle	champion
r2_sp_anc_scythian_item_gold_buckle	dignitary
r2_sp_anc_scythian_item_gold_buckle	general
r2_sp_anc_scythian_item_gold_buckle	spy
r2_sp_anc_scythian_item_severed_head	general
r2_sp_anc_scythian_metallurgist	general
r2_sp_anc_scythian_mystic	dignitary
r2_sp_anc_scythian_mystic	general
r2_sp_anc_scythian_old_man	general
r2_sp_anc_scythian_trader_cattle	dignitary
r2_sp_anc_scythian_trader_cattle	general
r2_sp_anc_scythian_trader_grain	dignitary
r2_sp_anc_scythian_trader_grain	general
r2_sp_anc_scythian_trader_skins	dignitary
r2_sp_anc_scythian_trader_skins	general
r2_sp_anc_scythian_trader_slaves	dignitary
r2_sp_anc_scythian_trader_slaves	general
r2_sp_anc_seleucid_eastern_army_elephant_expert	general
r2_sp_anc_silly_banacaces	champion
r2_sp_anc_silly_banacaces	dignitary
r2_sp_anc_silly_banacaces	spy
r2_sp_anc_silly_banacix	champion
r2_sp_anc_silly_banacix	dignitary
r2_sp_anc_silly_banacix	spy
r2_sp_anc_silly_banacus	champion
r2_sp_anc_silly_banacus	dignitary
r2_sp_anc_silly_banacus	spy
r2_sp_anc_silly_banakon	champion
r2_sp_anc_silly_banakon	dignitary
r2_sp_anc_silly_banakon	spy
r2_sp_anc_silly_banaqart	champion
r2_sp_anc_silly_banaqart	dignitary
r2_sp_anc_silly_banaqart	spy
r2_sp_anc_silly_time_tunnel_1	general
r2_sp_anc_silly_time_tunnel_2	general
r2_sp_anc_thracian_army_club	champion
r2_sp_anc_thracian_army_shield	general
r2_sp_anc_thracian_army_spear	general
r2_sp_anc_thracian_army_sword	general
r2_sp_anc_thracian_item_cap	champion
r2_sp_anc_thracian_item_cloak	general
r2_sp_anc_thracian_religion_bendis	general
r2_sp_anc_thracian_religion_darzalas	general
r2_sp_anc_thracian_religion_hebeleysis	general
rr2_sp_anc_barbarian_priest	general
