from	to
dk_all_military_infantry_2	dk_all_military_infantry_3
dk_all_military_infantry_2	dk_num_military_roman_3
dk_all_military_infantry_3	dk_all_military_infantry_4
dk_all_sanitation_1	dk_all_sanitation_canal_2
dk_all_sanitation_1	dk_all_sanitation_tank_2
dk_all_sanitation_canal_2	dk_all_sanitation_canal_3
dk_all_sanitation_canal_3	dk_all_sanitation_canal_4
dk_all_sanitation_tank_2	dk_all_sanitation_tank_3
dk_all_sanitation_tank_3	dk_all_sanitation_tank_4
dk_all_stables_1	dk_all_stables_2
dk_all_stables_1	dk_all_stables_camel_2
dk_all_stables_1	dk_all_stables_exotic_2
dk_all_stables_2	dk_all_stables_3
dk_all_stables_3	dk_all_stables_4
dk_all_stables_camel_2	dk_all_stables_camel_3
dk_all_stables_camel_3	dk_all_stables_camel_4
dk_all_stables_exotic_2	dk_all_stables_exotic_3
dk_all_training_1	dk_all_training_attack_2
dk_all_training_1	dk_all_training_horse_2
dk_all_training_1	dk_all_training_range_2
dk_all_training_attack_2	dk_all_training_attack_3
dk_all_training_horse_2	dk_all_training_horse_3
dk_all_training_range_2	dk_all_training_range_3
dk_ara_city_centre_1	dk_ara_city_centre_arena_2
dk_ara_city_centre_1	dk_ara_city_centre_funduq_2
dk_ara_city_centre_1	dk_ara_city_centre_library_2
dk_ara_city_centre_1	dk_ara_city_centre_palace_2
dk_ara_city_centre_1	dk_ara_city_centre_slave_2
dk_ara_city_centre_1	dk_ara_city_centre_spice_2
dk_ara_city_centre_arena_2	dk_ara_city_centre_arena_3
dk_ara_city_centre_arena_3	dk_ara_city_centre_arena_4
dk_ara_city_centre_funduq_2	dk_ara_city_centre_funduq_3
dk_ara_city_centre_funduq_3	dk_ara_city_centre_funduq_4
dk_ara_city_centre_library_2	dk_ara_city_centre_library_3
dk_ara_city_centre_library_3	dk_ara_city_centre_library_4
dk_ara_city_centre_palace_2	dk_ara_city_centre_palace_3
dk_ara_city_centre_palace_3	dk_ara_city_centre_palace_4
dk_ara_city_centre_slave_2	dk_ara_city_centre_slave_3
dk_ara_city_centre_spice_2	dk_ara_city_centre_spice_3
dk_ara_city_centre_spice_3	dk_ara_city_centre_spice_4
dk_ara_town_centre_1	dk_ara_town_centre_caravanserai_2
dk_ara_town_centre_1	dk_ara_town_centre_game_2
dk_ara_town_centre_caravanserai_2	dk_ara_town_centre_caravanserai_3
dk_ara_town_centre_caravanserai_3	dk_ara_town_centre_caravanserai_4
dk_ara_town_centre_caravanserai_4	dk_ara_town_centre_caravanserai_5
dk_ara_town_centre_game_2	dk_ara_town_centre_game_3
dk_ara_town_centre_game_3	dk_ara_town_centre_game_4
dk_industry_1	dk_industry_adobe_2
dk_industry_1	dk_industry_mint_2
dk_industry_1	dk_industry_weaver_2
dk_industry_adobe_2	dk_industry_adobe_3
dk_industry_adobe_3	dk_industry_adobe_4
dk_industry_mint_2	dk_industry_mint_3
dk_industry_mint_3	dk_industry_mint_4
dk_industry_weaver_2	dk_industry_weaver_3
dk_industry_weaver_3	dk_industry_weaver_4
dk_kush_industry_1	dk_kush_industry_amphora_2
dk_kush_industry_1	dk_kush_industry_jeweller_2
dk_kush_industry_1	dk_kush_industry_mint_2
dk_kush_industry_amphora_2	dk_kush_industry_amphora_3
dk_kush_industry_amphora_3	dk_kush_industry_amphora_4
dk_kush_industry_jeweller_2	dk_kush_industry_jeweller_3
dk_kush_industry_jeweller_3	dk_kush_industry_jeweller_4
dk_kush_industry_mint_2	dk_kush_industry_mint_3
dk_kush_industry_mint_3	dk_kush_industry_mint_4
dk_kush_religious_1	dk_kush_religious_amani_2
dk_kush_religious_1	dk_kush_religious_apedemak_2
dk_kush_religious_1	dk_kush_religious_hathor_2
dk_kush_religious_1	dk_kush_religious_horus_2
dk_kush_religious_1	dk_kush_religious_isis_2
dk_kush_religious_1	dk_kush_religious_royal_2
dk_kush_religious_amani_2	dk_kush_religious_amani_3
dk_kush_religious_amani_3	dk_kush_religious_amani_4
dk_kush_religious_apedemak_2	dk_kush_religious_apedemak_3
dk_kush_religious_apedemak_3	dk_kush_religious_apedemak_4
dk_kush_religious_hathor_2	dk_kush_religious_hathor_3
dk_kush_religious_hathor_3	dk_kush_religious_hathor_4
dk_kush_religious_horus_2	dk_kush_religious_horus_3
dk_kush_religious_horus_3	dk_kush_religious_horus_4
dk_kush_religious_isis_2	dk_kush_religious_isis_3
dk_kush_religious_isis_3	dk_kush_religious_isis_4
dk_kush_religious_royal_2	dk_kush_religious_royal_3
dk_kush_religious_royal_3	dk_kush_religious_royal_4
dk_kush_religious_royal_4	dk_kush_religious_royal_5
dk_kush_town_centre_1	dk_kush_town_centre_game_2
dk_kush_town_centre_1	dk_kush_town_centre_hunt_2
dk_kush_town_centre_game_2	dk_kush_town_centre_game_3
dk_kush_town_centre_game_3	dk_kush_town_centre_game_4
dk_kush_town_centre_hunt_2	dk_kush_town_centre_hunt_3
dk_kush_town_centre_hunt_3	dk_kush_town_centre_hunt_4
dk_minor_amber_1	dk_minor_amber_2
dk_minor_amber_2	dk_minor_amber_3
dk_minor_amber_3	dk_minor_amber_4
dk_minor_glass_1	dk_minor_glass_2
dk_minor_glass_2	dk_minor_glass_3
dk_minor_glass_3	dk_minor_glass_4
dk_minor_gold_1	dk_minor_gold_2
dk_minor_gold_2	dk_minor_gold_3
dk_minor_gold_3	dk_minor_gold_4
dk_minor_grain_1	dk_minor_grain_2
dk_minor_grain_2	dk_minor_grain_3
dk_minor_grain_3	dk_minor_grain_4
dk_minor_horse_1	dk_minor_horse_2
dk_minor_horse_2	dk_minor_horse_3
dk_minor_iron_1	dk_minor_iron_armour_2
dk_minor_iron_1	dk_minor_iron_weapon_2
dk_minor_iron_armour_2	dk_minor_iron_armour_3
dk_minor_iron_weapon_2	dk_minor_iron_weapon_3
dk_minor_lead_1	dk_minor_lead_2
dk_minor_lead_2	dk_minor_lead_3
dk_minor_lead_3	dk_minor_lead_4
dk_minor_leather_1	dk_minor_leather_2
dk_minor_leather_2	dk_minor_leather_3
dk_minor_leather_3	dk_minor_leather_4
dk_minor_lumber_1	dk_minor_lumber_2
dk_minor_lumber_2	dk_minor_lumber_3
dk_minor_lumber_3	dk_minor_lumber_4
dk_minor_marble_1	dk_minor_marble_2
dk_minor_marble_2	dk_minor_marble_3
dk_minor_marble_3	dk_minor_marble_4
dk_minor_olive_1	dk_minor_olive_2
dk_minor_olive_2	dk_minor_olive_3
dk_minor_olive_3	dk_minor_olive_4
dk_minor_purple_dye_1	dk_minor_purple_dye_2
dk_minor_purple_dye_2	dk_minor_purple_dye_3
dk_minor_purple_dye_3	dk_minor_purple_dye_4
dk_minor_settlement_1	dk_minor_settlement_garrison_2
dk_minor_settlement_1	dk_minor_settlement_trade_2
dk_minor_settlement_garrison_2	dk_minor_settlement_garrison_3
dk_minor_settlement_garrison_3	dk_minor_settlement_garrison_4
dk_minor_settlement_trade_2	dk_minor_settlement_trade_3
dk_minor_settlement_trade_3	dk_minor_settlement_trade_4
dk_minor_silk_1	dk_minor_silk_2
dk_minor_silk_2	dk_minor_silk_3
dk_minor_silk_3	dk_minor_silk_4
dk_minor_spice_1	dk_minor_spice_2
dk_minor_spice_2	dk_minor_spice_3
dk_minor_spice_3	dk_minor_spice_4
dk_minor_wine_1	dk_minor_wine_2
dk_minor_wine_2	dk_minor_wine_3
dk_minor_wine_3	dk_minor_wine_4
dk_nab_military_greek_2	dk_nab_military_greek_3
dk_nab_religious_1	dk_nab_religious_aluzza_2
dk_nab_religious_1	dk_nab_religious_dhushara_2
dk_nab_religious_1	dk_nab_religious_royal_2
dk_nab_religious_aluzza_2	dk_nab_religious_aluzza_3
dk_nab_religious_aluzza_3	dk_nab_religious_aluzza_4
dk_nab_religious_dhushara_2	dk_nab_religious_dhushara_3
dk_nab_religious_dhushara_3	dk_nab_religious_dhushara_4
dk_nab_religious_royal_2	dk_nab_religious_royal_3
dk_nab_religious_royal_3	dk_nab_religious_royal_4
dk_num_military_roman_3	dk_num_military_roman_4
dk_num_religious_1	dk_num_religious_baal_2
dk_num_religious_1	dk_num_religious_royal_2
dk_num_religious_1	dk_num_religious_sun_2
dk_num_religious_baal_2	dk_num_religious_baal_3
dk_num_religious_baal_3	dk_num_religious_baal_4
dk_num_religious_royal_2	dk_num_religious_royal_3
dk_num_religious_royal_3	dk_num_religious_royal_4
dk_num_religious_royal_4	dk_num_religious_royal_5
dk_num_religious_sun_2	dk_num_religious_sun_3
dk_num_religious_sun_3	dk_num_religious_sun_4
dk_saba_marib_dam_1	dk_saba_marib_dam_2
dk_saba_marib_dam_2	dk_saba_marib_dam_3
dk_saba_religious_1	dk_saba_religious_almaqah_2
dk_saba_religious_1	dk_saba_religious_royal_2
dk_saba_religious_1	dk_saba_religious_shams_2
dk_saba_religious_almaqah_2	dk_saba_religious_almaqah_3
dk_saba_religious_almaqah_3	dk_saba_religious_almaqah_4
dk_saba_religious_almaqah_4	dk_saba_religious_almaqah_5
dk_saba_religious_royal_2	dk_saba_religious_royal_3
dk_saba_religious_royal_3	dk_saba_religious_royal_4
dk_saba_religious_shams_2	dk_saba_religious_shams_3
dk_saba_religious_shams_3	dk_saba_religious_shams_4
east_agriculture_1	east_agriculture_farm_2
east_agriculture_1	east_agriculture_granary_2
east_agriculture_1	east_agriculture_herding_2
east_agriculture_farm_2	east_agriculture_farm_3
east_agriculture_farm_3	east_agriculture_farm_4
east_agriculture_granary_2	east_agriculture_granary_3
east_agriculture_granary_3	east_agriculture_granary_4
east_agriculture_herding_2	east_agriculture_herding_3
east_agriculture_herding_3	east_agriculture_herding_4
east_amber_1	east_amber_2
east_amber_2	east_amber_3
east_amber_3	east_amber_4
east_city_1	east_city_royal_2
east_city_1	east_city_satrap_2
east_city_centre_1	east_city_centre_arena_2
east_city_centre_1	east_city_centre_library_2
east_city_centre_1	east_city_centre_palace_2
east_city_centre_1	east_city_centre_slave_2
east_city_centre_1	east_city_centre_spice_2
east_city_centre_arena_2	east_city_centre_arena_3
east_city_centre_arena_3	east_city_centre_arena_4
east_city_centre_library_2	east_city_centre_library_3
east_city_centre_library_3	east_city_centre_library_4
east_city_centre_palace_2	east_city_centre_palace_3
east_city_centre_palace_3	east_city_centre_palace_4
east_city_centre_slave_2	east_city_centre_slave_3
east_city_centre_spice_2	east_city_centre_spice_3
east_city_centre_spice_3	east_city_centre_spice_4
east_city_royal_2	east_city_royal_3
east_city_royal_3	east_city_royal_4
east_city_satrap_2	east_city_satrap_3
east_city_satrap_3	east_city_satrap_4
east_glass_1	east_glass_2
east_glass_2	east_glass_3
east_glass_3	east_glass_4
east_gold_1	east_gold_2
east_gold_2	east_gold_3
east_gold_3	east_gold_4
east_grain_1	east_grain_2
east_grain_2	east_grain_3
east_grain_3	east_grain_4
east_horse_1	east_horse_2
east_horse_2	east_horse_3
east_industry_1	east_industry_adobe_2
east_industry_1	east_industry_mint_2
east_industry_1	east_industry_weaver_2
east_industry_adobe_2	east_industry_adobe_3
east_industry_adobe_3	east_industry_adobe_4
east_industry_mint_2	east_industry_mint_3
east_industry_mint_3	east_industry_mint_4
east_industry_weaver_2	east_industry_weaver_3
east_industry_weaver_3	east_industry_weaver_4
east_iron_1	east_iron_armour_2
east_iron_1	east_iron_weapon_2
east_iron_armour_2	east_iron_armour_3
east_iron_weapon_2	east_iron_weapon_3
east_lead_1	east_lead_2
east_lead_2	east_lead_3
east_lead_3	east_lead_4
east_leather_1	east_leather_2
east_leather_2	east_leather_3
east_leather_3	east_leather_4
east_lumber_1	east_lumber_2
east_lumber_2	east_lumber_3
east_lumber_3	east_lumber_4
east_marble_1	east_marble_2
east_marble_2	east_marble_3
east_marble_3	east_marble_4
east_military_buff_1	east_military_buff_horse_2
east_military_buff_1	east_military_buff_range_2
east_military_buff_horse_2	east_military_buff_horse_3
east_military_buff_range_2	east_military_buff_range_3
east_military_infantry_1	east_military_infantry_2
east_military_infantry_2	east_military_infantry_3
east_military_infantry_3	east_military_infantry_4
east_military_siege_1	east_military_siege_2
east_military_siege_2	east_military_siege_3
east_military_stables_1	east_military_stables_animal_2
east_military_stables_1	east_military_stables_heavy_2
east_military_stables_1	east_military_stables_light_2
east_military_stables_animal_2	east_military_stables_animal_3
east_military_stables_heavy_2	east_military_stables_heavy_3
east_military_stables_heavy_3	east_military_stables_heavy_4
east_military_stables_light_2	east_military_stables_light_3
east_military_stables_light_3	east_military_stables_light_4
east_olive_1	east_olive_2
east_olive_2	east_olive_3
east_olive_3	east_olive_4
east_port_1	east_port_fish_2
east_port_1	east_port_military_2
east_port_1	east_port_trade_2
east_port_fish_2	east_port_fish_3
east_port_fish_3	east_port_fish_4
east_port_military_2	east_port_military_3
east_port_military_3	east_port_military_4
east_port_trade_2	east_port_trade_3
east_port_trade_3	east_port_trade_4
east_purple_dye_1	east_purple_dye_2
east_purple_dye_2	east_purple_dye_3
east_purple_dye_3	east_purple_dye_4
east_religious_1	east_religious_fire_2
east_religious_1	east_religious_royal_2
east_religious_1	east_religious_tower_2
east_religious_fire_2	east_religious_fire_3
east_religious_fire_3	east_religious_fire_4
east_religious_royal_2	east_religious_royal_3
east_religious_royal_3	east_religious_royal_4
east_religious_tower_2	east_religious_tower_3
east_religious_tower_3	east_religious_tower_4
east_silk_1	east_silk_2
east_silk_2	east_silk_3
east_silk_3	east_silk_4
east_spice_1	east_spice_2
east_spice_2	east_spice_3
east_spice_3	east_spice_4
east_tax_1	east_tax_inspector_2
east_tax_1	east_tax_tax_2
east_tax_inspector_2	east_tax_inspector_3
east_tax_inspector_3	east_tax_inspector_4
east_tax_tax_2	east_tax_tax_3
east_tax_tax_3	east_tax_tax_4
east_town_1	east_town_garrison_2
east_town_1	east_town_trade_2
east_town_centre_1	east_town_centre_game_2
east_town_centre_1	east_town_centre_trade_2
east_town_centre_game_2	east_town_centre_game_3
east_town_centre_game_3	east_town_centre_game_4
east_town_centre_trade_2	east_town_centre_trade_3
east_town_centre_trade_3	east_town_centre_trade_4
east_town_garrison_2	east_town_garrison_3
east_town_garrison_3	east_town_garrison_4
east_town_trade_2	east_town_trade_3
east_town_trade_3	east_town_trade_4
east_water_1	east_water_well_2
east_water_1	east_water_wind_2
east_water_well_2	east_water_well_3
east_water_well_3	east_water_well_4
east_water_wind_2	east_water_wind_3
east_water_wind_3	east_water_wind_4
east_wine_1	east_wine_2
east_wine_2	east_wine_3
east_wine_3	east_wine_4
greek_agriculture_1	greek_agriculture_farm_2
greek_agriculture_1	greek_agriculture_granary_2
greek_agriculture_1	greek_agriculture_herd_2
greek_agriculture_farm_2	greek_agriculture_farm_3
greek_agriculture_farm_3	greek_agriculture_farm_4
greek_agriculture_granary_2	greek_agriculture_granary_3
greek_agriculture_granary_3	greek_agriculture_granary_4
greek_agriculture_herd_2	greek_agriculture_herd_3
greek_agriculture_herd_3	greek_agriculture_herd_4
greek_amber_1	greek_amber_2
greek_amber_2	greek_amber_3
greek_amber_3	greek_amber_4
greek_city_1	greek_city_2
greek_city_2	greek_city_3
greek_city_3	greek_city_4
greek_city_centre_1	greek_city_centre_east_palace_2
greek_city_centre_1	greek_city_centre_food_2
greek_city_centre_1	greek_city_centre_inn_2
greek_city_centre_1	greek_city_centre_library_2
greek_city_centre_1	greek_city_centre_slave_2
greek_city_centre_1	greek_city_centre_theatre_2
greek_city_centre_1	greek_city_centre_wine_2
greek_city_centre_east_palace_2	greek_city_centre_east_palace_3
greek_city_centre_east_palace_3	greek_city_centre_east_palace_4
greek_city_centre_food_2	greek_city_centre_food_3
greek_city_centre_food_3	greek_city_centre_food_4
greek_city_centre_food_4	greek_city_centre_5_prytaneion
greek_city_centre_inn_2	greek_city_centre_inn_3
greek_city_centre_inn_3	greek_city_centre_inn_4
greek_city_centre_inn_4	greek_city_centre_5_prytaneion
greek_city_centre_library_2	greek_city_centre_library_3
greek_city_centre_library_3	greek_city_centre_library_4
greek_city_centre_library_4	greek_city_centre_5_prytaneion
greek_city_centre_library_4	greek_city_centre_library_5
greek_city_centre_library_4	greek_city_centre_library_5_pergamon
greek_city_centre_slave_2	greek_city_centre_slave_3
greek_city_centre_theatre_2	greek_city_centre_theatre_3
greek_city_centre_theatre_3	greek_city_centre_theatre_4
greek_city_centre_theatre_4	greek_city_centre_5_prytaneion
greek_city_centre_theatre_4	greek_city_centre_theatre_5
greek_city_centre_theatre_4	greek_city_centre_theatre_5_pun
greek_city_centre_wine_2	greek_city_centre_wine_3
greek_city_centre_wine_3	greek_city_centre_wine_4
greek_city_centre_wine_4	greek_city_centre_5_prytaneion
greek_city_centre_wine_4	greek_city_centre_trade_5
greek_glass_1	greek_glass_2
greek_glass_2	greek_glass_3
greek_glass_3	greek_glass_4
greek_gold_1	greek_gold_2
greek_gold_2	greek_gold_3
greek_gold_3	greek_gold_4
greek_grain_1	greek_grain_2
greek_grain_2	greek_grain_3
greek_grain_3	greek_grain_4
greek_horse_1	greek_horse_2
greek_horse_2	greek_horse_3
greek_industrial_1	greek_industrial_amphora_2
greek_industrial_1	greek_industrial_jeweller_2
greek_industrial_1	greek_industrial_mint_2
greek_industrial_amphora_2	greek_industrial_amphora_3
greek_industrial_amphora_3	greek_industrial_amphora_4
greek_industrial_jeweller_2	greek_industrial_jeweller_3
greek_industrial_jeweller_3	greek_industrial_jeweller_4
greek_industrial_mint_2	greek_industrial_mint_3
greek_industrial_mint_3	greek_industrial_mint_4
greek_iron_1	greek_iron_armour_2
greek_iron_1	greek_iron_weapon_2
greek_iron_armour_2	greek_iron_armour_3
greek_iron_weapon_2	greek_iron_weapon_3
greek_lead_1	greek_lead_2
greek_lead_2	greek_lead_3
greek_lead_3	greek_lead_4
greek_leather_1	greek_leather_2
greek_leather_2	greek_leather_3
greek_leather_3	greek_leather_4
greek_lumber_1	greek_lumber_2
greek_lumber_2	greek_lumber_3
greek_lumber_3	greek_lumber_4
greek_marble_1	greek_marble_2
greek_marble_2	greek_marble_3
greek_marble_3	greek_marble_4
greek_military_1	greek_military_east_stable_2
greek_military_1	greek_military_heavy_2
greek_military_1	greek_military_light_2
greek_military_buff_1	greek_military_buff_attack_2
greek_military_buff_1	greek_military_buff_defence_2
greek_military_buff_1	greek_military_buff_horse_2
greek_military_buff_1	greek_military_buff_range_2
greek_military_buff_attack_2	greek_military_buff_attack_3
greek_military_buff_defence_2	greek_military_buff_defence_3
greek_military_buff_horse_2	greek_military_buff_horse_3
greek_military_buff_range_2	greek_military_buff_range_3
greek_military_east_stable_2	greek_military_east_stable_3
greek_military_east_stable_3	greek_military_east_stable_4
greek_military_heavy_2	greek_military_heavy_3
greek_military_heavy_3	greek_military_heavy_4
greek_military_heavy_4	greek_military_heavy_5
greek_military_light_2	greek_military_light_3
greek_military_light_3	greek_military_light_4
greek_military_siege_1	greek_military_siege_2
greek_military_siege_2	greek_military_siege_3
greek_olive_1	greek_olive_2
greek_olive_2	greek_olive_3
greek_olive_3	greek_olive_4
greek_port_1	greek_port_fish_2
greek_port_1	greek_port_harbour_2
greek_port_1	greek_port_military_2
greek_port_1	greek_port_trade_2
greek_port_fish_2	greek_port_fish_3
greek_port_fish_3	greek_port_fish_4
greek_port_harbour_2	greek_port_harbour_3
greek_port_harbour_3	greek_port_harbour_4
greek_port_military_2	greek_port_military_3
greek_port_military_3	greek_port_military_4
greek_port_trade_2	greek_port_trade_3
greek_port_trade_3	greek_port_trade_4
greek_purple_dye_1	greek_purple_dye_2
greek_purple_dye_2	greek_purple_dye_3
greek_purple_dye_3	greek_purple_dye_4
greek_religious_1	greek_religious_areas_2
greek_religious_1	greek_religious_athena_2
greek_religious_1	greek_religious_hephaistos_2
greek_religious_1	greek_religious_nymph_2
greek_religious_1	greek_religious_poseidon_2
greek_religious_1	greek_religious_zeus_2
greek_religious_areas_2	greek_religious_areas_3
greek_religious_areas_3	greek_religious_areas_4
greek_religious_areas_4	greek_religious_5_demeter
greek_religious_areas_4	greek_religious_5_ephesus
greek_religious_areas_4	greek_religious_5_golden_fleece
greek_religious_athena_2	greek_religious_athena_3
greek_religious_athena_3	greek_religious_athena_4
greek_religious_athena_4	greek_religious_5_demeter
greek_religious_athena_4	greek_religious_5_ephesus
greek_religious_athena_4	greek_religious_5_golden_fleece
greek_religious_athena_4	greek_religious_athena_5
greek_religious_egypt_1	greek_religious_egypt_ammon_2
greek_religious_egypt_1	greek_religious_egypt_hathor_2
greek_religious_egypt_1	greek_religious_egypt_horus_2
greek_religious_egypt_1	greek_religious_egypt_isis_2
greek_religious_egypt_1	greek_religious_egypt_royal_2
greek_religious_egypt_1	greek_religious_egypt_serapis_2
greek_religious_egypt_ammon_2	greek_religious_egypt_ammon_3
greek_religious_egypt_ammon_3	greek_religious_egypt_ammon_4
greek_religious_egypt_ammon_4	greek_religious_egypt_ammon_5
greek_religious_egypt_hathor_2	greek_religious_egypt_hathor_3
greek_religious_egypt_hathor_3	greek_religious_egypt_hathor_4
greek_religious_egypt_horus_2	greek_religious_egypt_horus_3
greek_religious_egypt_horus_3	greek_religious_egypt_horus_4
greek_religious_egypt_isis_2	greek_religious_egypt_isis_3
greek_religious_egypt_isis_3	greek_religious_egypt_isis_4
greek_religious_egypt_royal_2	greek_religious_egypt_royal_3
greek_religious_egypt_royal_3	greek_religious_egypt_royal_4
greek_religious_egypt_serapis_2	greek_religious_egypt_serapis_3
greek_religious_egypt_serapis_3	greek_religious_egypt_serapis_4
greek_religious_hephaistos_2	greek_religious_hephaistos_3
greek_religious_hephaistos_3	greek_religious_hephaistos_4
greek_religious_hephaistos_4	greek_religious_5_demeter
greek_religious_hephaistos_4	greek_religious_5_ephesus
greek_religious_hephaistos_4	greek_religious_5_golden_fleece
greek_religious_nymph_2	greek_religious_nymph_3
greek_religious_nymph_3	greek_religious_nymph_4
greek_religious_nymph_4	greek_religious_5_demeter
greek_religious_nymph_4	greek_religious_5_ephesus
greek_religious_nymph_4	greek_religious_5_golden_fleece
greek_religious_nymph_4	greek_religious_nymph_5
greek_religious_poseidon_2	greek_religious_poseidon_3
greek_religious_poseidon_3	greek_religious_poseidon_4
greek_religious_poseidon_4	greek_religious_5_demeter
greek_religious_poseidon_4	greek_religious_5_ephesus
greek_religious_poseidon_4	greek_religious_5_golden_fleece
greek_religious_punic_1	greek_religious_punic_astarte_2
greek_religious_punic_1	greek_religious_punic_baal_hammon_2
greek_religious_punic_1	greek_religious_punic_eshmun_2
greek_religious_punic_1	greek_religious_punic_melqart_2
greek_religious_punic_1	greek_religious_punic_tanit_2
greek_religious_punic_astarte_2	greek_religious_punic_astarte_3
greek_religious_punic_astarte_3	greek_religious_punic_astarte_4
greek_religious_punic_baal_hammon_2	greek_religious_punic_baal_hammon_3
greek_religious_punic_baal_hammon_3	greek_religious_punic_baal_hammon_4
greek_religious_punic_baal_hammon_4	greek_religious_punic_5
greek_religious_punic_eshmun_2	greek_religious_punic_eshmun_3
greek_religious_punic_eshmun_3	greek_religious_punic_eshmun_4
greek_religious_punic_melqart_2	greek_religious_punic_melqart_3
greek_religious_punic_melqart_3	greek_religious_punic_melqart_4
greek_religious_punic_tanit_2	greek_religious_punic_tanit_3
greek_religious_punic_tanit_3	greek_religious_punic_tanit_4
greek_religious_zeus_2	greek_religious_zeus_3
greek_religious_zeus_3	greek_religious_zeus_4
greek_religious_zeus_4	greek_religious_5_demeter
greek_religious_zeus_4	greek_religious_5_ephesus
greek_religious_zeus_4	greek_religious_5_golden_fleece
greek_religious_zeus_4	greek_religious_zeus_5_epirus
greek_religious_zeus_4	greek_religious_zeus_5_macedon
greek_religious_zeus_4	greek_religious_zeus_5_pergamon
greek_religious_zeus_4	greek_religious_zeus_5_pontus
greek_religious_zeus_4	greek_religious_zeus_5_syracuse
greek_religious_zeus_4	greek_religious_zeus_5_syracuse_pun
greek_silk_1	greek_silk_2
greek_silk_2	greek_silk_3
greek_silk_3	greek_silk_4
greek_spice_1	greek_spice_2
greek_spice_2	greek_spice_3
greek_spice_3	greek_spice_4
greek_town_1	greek_town_civil_2
greek_town_1	greek_town_farm_2
greek_town_1	greek_town_trade_2
greek_town_centre_1	greek_town_centre_market_2
greek_town_centre_1	greek_town_centre_stadia_2
greek_town_centre_market_2	greek_town_centre_market_3
greek_town_centre_market_3	greek_town_centre_market_4
greek_town_centre_market_4	greek_town_centre_5_rose_marl
greek_town_centre_stadia_2	greek_town_centre_stadia_3
greek_town_centre_stadia_3	greek_town_centre_stadia_4
greek_town_centre_stadia_4	greek_town_centre_5_rose_marl
greek_town_civil_2	greek_town_civil_3
greek_town_civil_3	greek_town_civil_4
greek_town_farm_2	greek_town_farm_3
greek_town_farm_3	greek_town_farm_4
greek_town_trade_2	greek_town_trade_3
greek_town_trade_3	greek_town_trade_4
greek_water_1	greek_water_asclepius_2
greek_water_1	greek_water_park_2
greek_water_1	greek_water_tank_2
greek_water_asclepius_2	greek_water_asclepius_3
greek_water_asclepius_3	greek_water_asclepius_4
greek_water_park_2	greek_water_park_3
greek_water_park_3	greek_water_park_4
greek_water_tank_2	greek_water_tank_3
greek_water_tank_3	greek_water_tank_4
greek_wine_1	greek_wine_2
greek_wine_2	greek_wine_3
greek_wine_3	greek_wine_4
inv_barb_amber_1	inv_barb_amber_2
inv_barb_amber_2	inv_barb_amber_3
inv_barb_amber_3	inv_barb_amber_4
inv_barb_gold_1	inv_barb_gold_2
inv_barb_gold_2	inv_barb_gold_3
inv_barb_gold_3	inv_barb_gold_4
inv_barb_grain_1	inv_barb_grain_2
inv_barb_grain_2	inv_barb_grain_3
inv_barb_grain_3	inv_barb_grain_4
inv_barb_horse_1	inv_barb_horse_2
inv_barb_horse_2	inv_barb_horse_3
inv_barb_iron_1	inv_barb_iron_armour_2
inv_barb_iron_1	inv_barb_iron_weapon_2
inv_barb_iron_armour_2	inv_barb_iron_armour_3
inv_barb_iron_weapon_2	inv_barb_iron_weapon_3
inv_barb_lead_1	inv_barb_lead_2
inv_barb_lead_2	inv_barb_lead_3
inv_barb_lead_3	inv_barb_lead_4
inv_barb_leather_1	inv_barb_leather_2
inv_barb_leather_2	inv_barb_leather_3
inv_barb_leather_3	inv_barb_leather_4
inv_barb_lumber_1	inv_barb_lumber_2
inv_barb_lumber_2	inv_barb_lumber_3
inv_barb_lumber_3	inv_barb_lumber_4
inv_barb_marble_1	inv_barb_marble_2
inv_barb_marble_2	inv_barb_marble_3
inv_barb_marble_3	inv_barb_marble_4
inv_barb_olive_1	inv_barb_olive_2
inv_barb_olive_2	inv_barb_olive_3
inv_barb_olive_3	inv_barb_olive_4
inv_barb_purple_dye_1	inv_barb_purple_dye_2
inv_barb_purple_dye_2	inv_barb_purple_dye_3
inv_barb_purple_dye_3	inv_barb_purple_dye_4
inv_barb_salt_1	inv_barb_salt_2
inv_barb_salt_2	inv_barb_salt_3
inv_barb_salt_3	inv_barb_salt_4
inv_barb_wine_1	inv_barb_wine_2
inv_barb_wine_2	inv_barb_wine_3
inv_barb_wine_3	inv_barb_wine_4
inv_car_agriculture_1	inv_car_agriculture_farm_2
inv_car_agriculture_1	inv_car_agriculture_granary_2
inv_car_agriculture_1	inv_car_agriculture_herd_2
inv_car_agriculture_farm_2	inv_car_agriculture_farm_3
inv_car_agriculture_farm_3	inv_car_agriculture_farm_4
inv_car_agriculture_granary_2	inv_car_agriculture_granary_3
inv_car_agriculture_granary_3	inv_car_agriculture_granary_4
inv_car_agriculture_herd_2	inv_car_agriculture_herd_3
inv_car_agriculture_herd_3	inv_car_agriculture_herd_4
inv_car_amber_1	inv_car_amber_2
inv_car_amber_2	inv_car_amber_3
inv_car_amber_3	inv_car_amber_4
inv_car_city_1	inv_car_city_2
inv_car_city_2	inv_car_city_3
inv_car_city_3	inv_car_city_4
inv_car_city_centre_1	inv_car_city_centre_food_2
inv_car_city_centre_1	inv_car_city_centre_inn_2
